column_id,node_i,node_j,bx [mm],by [mm],length [mm],wg [kN/m],wq [kN/m],fcd [MPa],fsyd [MPa],cover [mm],dbl_cor [mm],dbl_int [mm],nblx_int,nbly_int,dbh [mm],sbh [mm],nbh_x,nbh_y,fcm_q [MPa],fsyml_q [MPa],fsymh_q [MPa],sbh_q [mm],cover_q [mm],bondslip_factor_q
3,3,1003,500,500,3150,6,0,7,240,30,20,16,1,0,6,100,2,2,17.8231,478.141,487.57,103.655,27.8445,0.5
4,4,1004,350,350,3150,2.94,0,7,240,30,12,12,0,2,6,125,2,2,21.9202,480.837,481.767,125.988,29.5656,0.5
5,5,1005,350,350,3150,2.94,0,7,240,30,12,12,0,2,6,125,2,2,21.2987,484.146,480.523,130.698,31.3913,0.5
6,6,1006,500,500,3150,6,0,7,240,30,20,16,2,1,6,75,2,2,21.2177,484.663,488.557,75.0072,29.5703,0.5
7,7,1007,550,550,3150,7.26,0,7,240,30,20,16,4,1,6,75,2,2,20.7186,476.075,480.688,75.9119,30.3835,0.5
8,8,1008,450,450,3150,4.86,0,7,240,30,16,12,2,3,6,100,2,2,19.9338,482.96,480.382,100.685,27.5274,0.5
9,9,1009,350,350,3150,2.94,0,7,240,30,12,12,0,2,6,125,2,2,22.3156,484.116,471.919,127.134,32.5763,0.5
10,10,1010,500,500,3150,6,0,7,240,30,20,16,2,1,6,75,2,2,20.5403,471.836,480.56,75.555,26.5316,0.5
11,11,1011,550,550,3150,7.26,0,7,240,30,20,16,4,2,6,75,2,2,20.342,474.077,483.163,76.0544,29.7804,0.5
12,12,1012,450,450,3150,4.86,0,7,240,30,16,12,2,3,6,100,2,2,22.3265,479.216,478.389,102.002,28.3942,0.5
13,13,1013,350,350,3150,2.94,0,7,240,30,12,12,0,2,6,125,2,2,21.8072,476.322,482.241,127.959,26.4711,0.5
14,14,1014,500,500,3150,6,0,7,240,30,20,16,2,1,6,75,2,2,19.3836,485.688,480.775,76.0119,33.3563,0.5
15,15,1015,550,550,3150,7.26,0,7,240,30,20,16,4,2,6,75,2,2,21.7222,482.801,476.111,75.2549,27.5804,0.5
16,16,1016,450,450,3150,4.86,0,7,240,30,16,12,2,3,6,100,2,2,19.7879,482.706,480.565,102.703,29.7696,0.5
17,17,1017,300,300,3150,2.16,0,7,240,30,12,12,0,1,6,125,2,2,23.4287,483.557,479.711,128.959,30.872,0.5
18,18,1018,400,400,3150,3.84,0,7,240,30,12,12,3,2,6,125,2,2,24.0538,477.903,477.994,129.1,28.2134,0.5
19,19,1019,500,500,3150,6,0,7,240,30,20,16,1,0,6,100,2,2,21.6171,476.445,482.019,100.143,29.8474,0.5
20,20,1020,350,350,3150,2.94,0,7,240,30,12,12,0,2,6,125,2,2,23.9773,481.549,472.64,125.662,30.2302,0.5
1003,1003,2003,500,500,3150,6,0,7,240,30,20,16,0,1,6,150,2,2,18.8061,478.964,478.445,155.012,29.5866,0.5
1004,1004,2004,350,350,3150,2.94,0,7,240,30,12,12,0,3,6,125,2,2,21.6768,487.392,479.204,125.641,28.9681,0.5
1005,1005,2005,350,350,3150,2.94,0,7,240,30,12,12,0,2,6,125,2,2,18.6108,481.755,489.408,125.416,28.0961,0.5
1006,1006,2006,500,500,3150,6,0,7,240,30,20,16,0,1,6,75,2,2,21.2597,478.622,482.499,76.6938,34.2249,0.5
1007,1007,2007,550,550,3150,7.26,0,7,240,30,20,16,0,2,6,125,2,2,19.0063,485.108,481.542,127.28,30.0714,0.5
1008,1008,2008,450,450,3150,4.86,0,7,240,30,16,12,0,3,6,75,2,2,19.3161,478.546,475.17,77.525,31.6274,0.5
1009,1009,2009,350,350,3150,2.94,0,7,240,30,12,12,0,2,6,125,2,2,22.1851,475.596,479.216,125.252,30.2572,0.5
1010,1010,2010,500,500,3150,6,0,7,240,30,20,16,0,1,6,75,2,2,20.08,483.748,478.425,75.8449,28.3522,0.5
1011,1011,2011,550,550,3150,7.26,0,7,240,30,20,16,0,2,6,125,2,2,19.1181,479.665,487.538,126.782,29.8398,0.5
1012,1012,2012,450,450,3150,4.86,0,7,240,30,16,12,0,3,6,100,2,2,20.0417,476.914,479.431,101.626,32.9162,0.5
1013,1013,2013,350,350,3150,2.94,0,7,240,30,12,12,0,2,6,125,2,2,20.8291,482.419,485.108,125.05,33.6737,0.5
1014,1014,2014,500,500,3150,6,0,7,240,30,20,16,0,1,6,75,2,2,21.4741,490.01,481.9,77.0658,35.07,0.5
1015,1015,2015,550,550,3150,7.26,0,7,240,30,20,16,0,2,6,125,2,2,19.9133,476.717,485.656,125.081,27.7321,0.5
1016,1016,2016,450,450,3150,4.86,0,7,240,30,16,12,0,3,6,100,2,2,22.4409,483.891,467.153,101.503,28.8287,0.5
1017,1017,2017,300,300,3150,2.16,0,7,240,30,12,12,0,1,6,125,2,2,21.5566,483.439,486.952,130.686,26.6602,0.5
1018,1018,2018,400,400,3150,3.84,0,7,240,30,12,12,0,3,6,125,2,2,21.6768,474.394,488.022,125.989,37.6275,0.5
1019,1019,2019,500,500,3150,6,0,7,240,30,20,16,0,1,6,150,2,2,21.035,484.775,475.15,154.788,31.0206,0.5
1020,1020,2020,350,350,3150,2.94,0,7,240,30,12,12,0,3,6,125,2,2,23.4962,479.539,472.813,127.853,31.6597,0.5
2003,2003,3003,400,400,3150,3.84,0,7,240,30,20,16,0,0,6,200,2,2,22.0899,474.528,477.724,209.249,29.4811,0.5
2004,2004,3004,250,250,3150,1.5,0,7,240,30,12,12,0,1,6,125,2,2,19.6175,480.438,481.039,127.754,27.986,0.5
2005,2005,3005,250,250,3150,1.5,0,7,240,30,12,12,0,0,6,125,2,2,22.8188,477.441,480.291,126.267,29.1526,0.5
2006,2006,3006,400,400,3150,3.84,0,7,240,30,20,16,0,0,6,150,2,2,25.9337,475.548,479.217,157.467,28.3741,0.5
2007,2007,3007,500,500,3150,6,0,7,240,30,20,16,0,1,6,125,2,2,21.6484,473.278,486.56,129.525,30.2449,0.5
2008,2008,3008,350,350,3150,2.94,0,7,240,30,16,12,0,1,6,150,2,2,24.467,475.958,480.847,150.973,32.8287,0.5
2009,2009,3009,250,250,3150,1.5,0,7,240,30,12,12,0,0,6,125,2,2,20.7827,479.149,487.29,128.301,33.0269,0.5
2010,2010,3010,400,400,3150,3.84,0,7,240,30,20,16,0,0,6,125,2,2,22.0176,481.747,480.923,126.914,28.3535,0.5
2011,2011,3011,500,500,3150,6,0,7,240,30,20,16,0,1,6,125,2,2,21.2566,473.53,475.719,130.512,27.3505,0.5
2012,2012,3012,350,350,3150,2.94,0,7,240,30,16,12,0,1,6,150,2,2,21.3064,482.745,490.18,151.207,31.8301,0.5
2013,2013,3013,250,250,3150,1.5,0,7,240,30,12,12,0,0,6,125,2,2,23.3592,473.935,494.462,129.024,29.378,0.5
2014,2014,3014,400,400,3150,3.84,0,7,240,30,20,16,0,0,6,125,2,2,21.8427,475.546,479.354,130.985,27.3961,0.5
2015,2015,3015,500,500,3150,6,0,7,240,30,20,16,0,1,6,125,2,2,25.6145,482.711,483.44,130.68,30.8044,0.5
2016,2016,3016,350,350,3150,2.94,0,7,240,30,16,12,0,1,6,150,2,2,21.8901,485.803,481.68,156.754,26.5726,0.5
2017,2017,3017,250,250,3150,1.5,0,7,240,30,12,12,0,0,6,125,2,2,18.8369,490.301,475.721,129.147,26.3231,0.5
2018,2018,3018,350,350,3150,2.94,0,7,240,30,12,12,0,2,6,125,2,2,20.9214,481.891,480.96,126.894,23.9423,0.5
2019,2019,3019,400,400,3150,3.84,0,7,240,30,20,16,0,0,6,200,2,2,24.0212,479.732,481.908,200.749,27.6476,0.5
2020,2020,3020,250,250,3150,1.5,0,7,240,30,12,12,0,1,6,125,2,2,21.141,473.542,481.14,126.074,29.8425,0.5
3003,3003,4003,400,400,3150,3.84,0,7,240,30,20,16,0,0,6,200,2,2,17.8601,480.712,480.5,208.936,27.1858,0.5
3004,3004,4004,250,250,3150,1.5,0,7,240,30,12,12,0,1,6,125,2,2,20.2183,475.647,481.117,129.424,25.8584,0.5
3005,3005,4005,250,250,3150,1.5,0,7,240,30,12,12,0,0,6,125,2,2,18.6378,480.173,482.649,125.652,29.9437,0.5
3006,3006,4006,400,400,3150,3.84,0,7,240,30,20,16,0,0,6,200,2,2,27.8069,481.329,483.575,209.72,34.1638,0.5
3007,3007,4007,500,500,3150,6,0,7,240,30,20,16,0,1,6,200,2,2,26.1505,484.664,473.58,205.099,23.8995,0.5
3008,3008,4008,350,350,3150,2.94,0,7,240,30,16,12,0,2,6,100,2,2,23.5514,477.81,486.585,100.859,27.8457,0.5
3009,3009,4009,250,250,3150,1.5,0,7,240,30,12,12,0,0,6,125,2,2,22.2143,491.097,479.393,127.998,34.1277,0.5
3010,3010,4010,400,400,3150,3.84,0,7,240,30,20,16,0,0,6,150,2,2,23.27,492.508,482.477,152.994,31.0472,0.5
3011,3011,4011,500,500,3150,6,0,7,240,30,20,16,0,1,6,200,2,2,19.6722,484.529,478.632,202.139,33.0097,0.5
3012,3012,4012,350,350,3150,2.94,0,7,240,30,16,12,0,2,6,100,2,2,20.501,482.443,472.217,103.165,34.2898,0.5
3013,3013,4013,250,250,3150,1.5,0,7,240,30,12,12,0,0,6,125,2,2,21.7794,483.004,482.032,128.288,27.7588,0.5
