column_id,node_i,node_j,bx [mm],by [mm],length [mm],wg [kN/m],wq [kN/m],fcd [MPa],fsyd [MPa],cover [mm],dbl_cor [mm],dbl_int [mm],nblx_int,nbly_int,dbh [mm],sbh [mm],nbh_x,nbh_y,fcm_q [MPa],fsyml_q [MPa],fsymh_q [MPa],sbh_q [mm],cover_q [mm],bondslip_factor_q
3,3,1003,500,700,3700,8.4,0,8.5,240,30,16,16,0,10,6,50,3,2,17.7208,476.074,474.554,59.7776,39.1701,1
4,4,1004,350,450,3700,3.78,0,8.5,240,30,12,12,0,4,6,125,2,2,26.8046,487.374,495.536,130.758,38.7864,1
5,5,1005,450,250,3700,2.7,0,8.5,240,30,12,12,0,2,6,125,2,2,25.306,466.458,485.497,140.285,32.6437,1
6,6,1006,850,350,3700,7.14,0,8.5,240,30,20,16,9,0,6,50,2,2,25.1139,472.022,509.607,50.8531,27.0602,1
7,7,1007,1000,450,3700,10.8,0,8.5,240,30,20,20,8,0,6,50,2,3,23.9463,494.386,478.893,63.0577,22.4919,1
8,8,1008,750,300,3700,5.4,0,8.5,240,30,16,16,5,0,6,75,2,2,22.1665,495.863,465.481,77.2549,24.8244,1
9,9,1009,500,250,3700,3,0,8.5,240,30,12,12,2,0,6,125,2,2,27.7802,473.323,466.198,133.223,38.4889,1
10,10,1010,800,350,3700,6.72,0,8.5,240,30,20,16,6,0,6,50,2,2,23.536,502.595,488.028,60.6302,33.4702,1
11,11,1011,1000,450,3700,10.8,0,8.5,240,30,20,20,8,0,6,50,2,3,23.0836,485.244,482.39,61.4144,23.3309,1
12,12,1012,750,300,3700,5.4,0,8.5,240,30,16,16,5,0,6,75,2,2,27.8074,480.09,470.695,79.8833,43.9701,1
13,13,1013,500,250,3700,3,0,8.5,240,30,12,12,2,0,6,125,2,2,26.5289,476.286,481.437,130.823,30.1492,1
14,14,1014,800,350,3700,6.72,0,8.5,240,30,20,16,6,0,6,50,2,2,20.9599,474.99,480.898,50.3776,24.8234,1
15,15,1015,1000,450,3700,10.8,0,8.5,240,30,20,20,8,0,6,50,2,3,26.3224,500.398,493.018,51.1983,29.6947,1
16,16,1016,750,300,3700,5.4,0,8.5,240,30,16,16,5,0,6,75,2,2,21.8433,486.102,460.998,94.8529,28.5057,1
17,17,1017,500,250,3700,3,0,8.5,240,30,12,12,2,0,6,125,2,2,30.6208,481.028,465.692,131.717,25.6,1
18,18,1018,800,350,3700,6.72,0,8.5,240,30,20,16,6,0,6,50,2,2,32.2764,459.895,478.271,56.0537,32.1087,1
19,19,1019,1000,450,3700,10.8,0,8.5,240,30,20,20,8,0,6,50,2,3,26.0683,471.883,467.179,61.5505,30.3953,1
20,20,1020,750,300,3700,5.4,0,8.5,240,30,16,16,5,0,6,75,2,2,32.0716,499.364,508.175,97.1193,26.6054,1
21,21,1021,500,250,3700,3,0,8.5,240,30,12,12,2,0,6,125,2,2,19.7296,481.719,469.933,157.719,35.5703,1
22,22,1022,800,350,3700,6.72,0,8.5,240,30,20,16,6,0,6,50,2,2,26.2126,475.639,483.668,63.8417,30.5903,1
23,23,1023,1000,450,3700,10.8,0,8.5,240,30,20,20,8,0,6,50,2,3,19.3219,452.641,478.303,62.4799,27.616,1
24,24,1024,750,300,3700,5.4,0,8.5,240,30,16,16,5,0,6,75,2,2,25.2135,472.105,489.426,82.8492,24.5448,1
25,25,1025,300,300,3700,2.16,0,8.5,240,30,12,12,0,1,6,125,2,2,20.1518,472.13,460.95,148.894,29.9918,1
26,26,1026,450,600,3700,6.48,0,8.5,240,30,16,16,0,7,6,50,2,2,20.814,468.717,474.566,60.6094,24.4659,1
27,27,1027,500,700,3700,8.4,0,8.5,240,30,20,20,0,7,6,50,3,2,27.4563,475.237,479.091,56.192,39.5031,1
28,28,1028,350,450,3700,3.78,0,8.5,240,30,12,12,0,6,6,100,2,2,22.4929,470.117,465.727,118.101,29.9237,1
1003,1003,2003,500,700,2850,8.4,0,8.5,240,30,16,16,4,0,6,125,2,2,20.3896,461.977,484.359,161.407,39.36,1
1004,1004,2004,350,450,2850,3.78,0,8.5,240,30,12,12,0,3,6,100,2,2,22.4071,464.729,481.032,109.799,27.3192,1
1005,1005,2005,450,250,2850,2.7,0,8.5,240,30,12,12,2,0,6,125,2,2,24.2024,479.902,491.434,159.52,29.4072,1
1006,1006,2006,850,350,2850,7.14,0,8.5,240,30,20,16,0,2,6,75,2,2,25.7245,462.584,478.261,97.215,30.3232,1
1007,1007,2007,1000,450,2850,10.8,0,8.5,240,30,20,20,0,3,6,100,2,2,22.121,498.533,473.578,117.608,38.692,1
