beam_id,node_i,node_j,b [mm],h [mm],length [mm],wg [kN/m],wq [kN/m],wg_alpha [kN/m],wq_alpha [kN/m],fcd [MPa],fsyd [MPa],cover [mm],dbl_t1_i [mm],nbl_t1_i,dbl_t2_i [mm],nbl_t2_i,dbl_b1_i [mm],nbl_b1_i,dbl_b2_i [mm],nbl_b2_i,dbh_i [mm],sbh_i [mm],nbh_b_i,nbh_h_i,dbl_t1_mid [mm],nbl_t1_mid,dbl_t2_mid [mm],nbl_t2_mid,dbl_b1_mid [mm],nbl_b1_mid,dbl_b2_mid [mm],nbl_b2_mid,dbh_mid [mm],sbh_mid [mm],nbh_b_mid,nbh_h_mid,dbl_t1_j [mm],nbl_t1_j,dbl_t2_j [mm],nbl_t2_j,dbl_b1_j [mm],nbl_b1_j,dbl_b2_j [mm],nbl_b2_j,dbh_j [mm],sbh_j [mm],nbh_b_j,nbh_h_j,fcm_q [MPa],fsyml_q [MPa],fsymh_q [MPa],sbh_i_q [mm],sbh_mid_q [mm],sbh_j_q [mm],cover_q [mm],bondslip_factor_q
1029,1001,1002,300,500,2950,3.6,0,3.6,0,8.5,240,30,25,2,25,0,20,2,20,0,8,150,2,2,25,2,25,0,20,2,20,0,8,150,2,2,25,2,25,1,20,2,20,2,8,150,2,2,29.0267,457.561,461.776,192.998,162.019,193.402,26.9323,1
1030,1002,1003,300,500,4750,17.535,2.375,15.2236,1.58341,8.5,240,30,25,2,25,1,20,2,20,2,8,150,2,2,25,2,25,0,20,2,20,0,8,150,2,2,25,2,25,2,20,2,20,1,8,150,2,2,22.7841,487.74,489.966,173.812,179.854,193.653,33.1829,1
1031,1003,1004,300,500,4750,17.535,2.375,15.2236,1.58341,8.5,240,30,25,2,25,2,20,2,20,1,8,150,2,2,25,2,25,0,20,2,20,0,8,150,2,2,25,2,25,1,20,2,20,1,8,150,2,2,21.8791,493.218,466.177,160.61,188.1,166.055,40.4671,1
1032,1005,1006,250,500,2950,20.665,9.2,19.5834,8.70838,8.5,240,30,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,0,16,2,16,1,8,150,2,2,20.4693,464.769,495.815,159.066,163.132,151.88,36.7277,1
1033,1006,1007,250,500,4750,16.87,4.75,12.2471,3.16682,8.5,240,30,25,2,25,0,16,2,16,1,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,1,16,2,16,1,8,150,2,2,23.1847,501.994,484.141,186.174,158.404,185.994,27.4231,1
1034,1007,1008,250,500,4750,16.87,4.75,12.2471,3.16682,8.5,240,30,25,2,25,1,16,2,16,1,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,0,16,2,16,1,8,150,2,2,16.4479,481.92,474.092,191.914,175.799,162.63,36.3703,1
1035,1009,1010,250,500,2950,9.49,2.95,7.32688,1.96677,8.5,240,30,25,2,25,0,16,2,16,1,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,0,16,2,16,1,8,150,2,2,27.9283,487.809,493.429,177.76,186.041,152.332,21.7686,1
1036,1010,1011,250,500,4750,16.87,4.75,12.2471,3.16682,8.5,240,30,25,2,25,0,16,2,16,1,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,1,16,2,16,1,8,150,2,2,23.4752,470.981,469.158,180.888,165.837,161.004,23.023,1
1037,1011,1012,250,500,4750,16.87,4.75,12.2471,3.16682,8.5,240,30,25,2,25,1,16,2,16,1,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,0,16,2,16,1,8,150,2,2,21.8898,499.149,470.645,189.766,187.704,156.852,25.1011,1
1038,1013,1014,250,500,2950,9.49,2.95,7.32688,1.96677,8.5,240,30,25,2,25,0,16,2,16,1,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,0,16,2,16,1,8,150,2,2,20.1224,484.429,474.615,161.581,194.113,190.947,35.1961,1
1039,1014,1015,250,500,4750,16.87,4.75,12.2471,3.16682,8.5,240,30,25,2,25,0,16,2,16,1,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,1,16,2,16,1,8,150,2,2,23.319,481.307,477.395,176.166,179.427,158.771,33.7944,1
1040,1015,1016,250,500,4750,16.87,4.75,12.2471,3.16682,8.5,240,30,25,2,25,1,16,2,16,1,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,0,16,2,16,1,8,150,2,2,22.3253,501.68,470.77,175.499,190.231,183.72,23.9745,1
1041,1017,1018,250,500,2950,9.49,2.95,7.32688,1.96677,8.5,240,30,25,2,25,0,16,2,16,1,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,0,16,2,16,1,8,150,2,2,23.3444,481.723,497.136,191.53,154.128,156.367,33.4745,1
1042,1018,1019,250,500,4750,16.87,4.75,12.2471,3.16682,8.5,240,30,25,2,25,0,16,2,16,1,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,1,16,2,16,1,8,150,2,2,25.7714,480.955,478.204,164.569,167.052,153.435,34.5914,1
1043,1019,1020,250,500,4750,16.87,4.75,12.2471,3.16682,8.5,240,30,25,2,25,1,16,2,16,1,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,0,16,2,16,1,8,150,2,2,26.8023,460.052,500.374,156.21,188.963,166.716,25.1851,1
1044,1021,1022,250,500,2950,9.49,2.95,7.32688,1.96677,8.5,240,30,25,2,25,0,16,2,16,1,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,0,16,2,16,1,8,150,2,2,32.0325,481.401,472.094,154.67,182.84,177.455,32.7717,1
1045,1022,1023,250,500,4750,16.87,4.75,12.2471,3.16682,8.5,240,30,25,2,25,0,16,2,16,1,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,1,16,2,16,1,8,150,2,2,41.1969,487.947,479.054,162.74,154.406,173.911,28.6004,1
1046,1023,1024,250,500,4750,16.87,4.75,12.2471,3.16682,8.5,240,30,25,2,25,1,16,2,16,1,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,0,16,2,16,1,8,150,2,2,18.7731,475.984,490.277,152.924,160.439,187.863,22.444,1
1047,1025,1026,300,550,2950,14.205,1.475,13.1234,0.983383,8.5,240,30,25,2,25,0,20,2,20,0,8,150,2,2,25,2,25,0,20,2,20,0,8,150,2,2,25,2,25,2,20,2,20,2,8,150,2,2,22.5838,485.622,508.436,163.786,164.925,169.637,30.2637,1
1048,1026,1027,300,550,4750,17.895,2.375,15.5836,1.58341,8.5,240,30,25,2,25,2,20,2,20,2,8,150,2,2,25,2,25,0,20,2,20,0,8,150,2,2,25,2,25,2,20,2,20,2,8,150,2,2,28.1367,481.941,478.487,176.033,178.196,177.525,29.8884,1
1049,1027,1028,300,550,4750,17.895,2.375,15.5836,1.58341,8.5,240,30,25,2,25,2,20,2,20,2,8,150,2,2,25,2,25,0,20,2,20,0,8,150,2,2,25,2,25,1,20,2,20,1,8,150,2,2,21.4542,470.337,479.098,170.068,183.637,152.683,38.0201,1
2029,2001,2002,250,450,2950,2.7,0,2.7,0,8.5,240,30,25,2,25,0,20,2,20,0,8,150,2,2,25,2,25,0,20,2,20,0,8,150,2,2,25,2,25,1,20,2,20,1,8,150,2,2,32.7541,481.413,499.095,179.036,171.716,183.536,30.9226,1
2030,2002,2003,250,450,4750,16.635,2.375,14.3236,1.58341,8.5,240,30,25,2,25,1,20,2,20,1,8,150,2,2,25,2,25,0,20,2,20,0,8,150,2,2,25,2,25,1,20,2,20,0,8,150,2,2,22.3631,479.278,477.955,173.583,151.219,181.284,36.609,1
2031,2003,2004,250,450,4750,16.635,2.375,14.3236,1.58341,8.5,240,30,25,2,25,1,20,2,20,0,8,150,2,2,25,2,25,0,20,2,20,0,8,150,2,2,25,2,25,0,20,2,20,0,8,150,2,2,29.7659,475.002,478.205,184.057,189.264,186.536,29.3036,1
2032,2005,2006,250,400,2950,20.065,9.2,18.9834,8.70838,8.5,240,30,25,2,25,0,12,2,12,2,8,150,2,2,25,2,25,0,12,2,12,0,8,150,2,2,25,2,25,0,12,2,12,2,8,150,2,2,28.2843,485.063,500.542,170.366,191.909,154.69,33.6202,1
2033,2006,2007,250,400,4750,16.27,4.75,11.6471,3.16682,8.5,240,30,25,2,25,0,12,2,12,2,8,150,2,2,25,2,25,0,12,2,12,0,8,150,2,2,25,2,25,0,12,2,12,2,8,150,2,2,30.9119,461.812,479.906,184.819,166.246,170.789,43.6829,1
2034,2007,2008,250,400,4750,16.27,4.75,11.6471,3.16682,8.5,240,30,25,2,25,0,12,2,12,2,8,150,2,2,25,2,25,0,12,2,12,0,8,150,2,2,25,2,25,0,12,2,12,1,8,150,2,2,18.0123,476.121,466.462,171.324,186.446,179.441,19.9844,1
2035,2009,2010,250,400,2950,8.89,2.95,6.72688,1.96677,8.5,240,30,25,2,25,0,12,2,12,2,8,150,2,2,25,2,25,0,12,2,12,0,8,150,2,2,25,2,25,0,12,2,12,2,8,150,2,2,22.5461,478.013,499.179,182.68,173.491,150.374,29.2747,1
2036,2010,2011,250,400,4750,16.27,4.75,11.6471,3.16682,8.5,240,30,25,2,25,0,12,2,12,2,8,150,2,2,25,2,25,0,12,2,12,0,8,150,2,2,25,2,25,0,12,2,12,2,8,150,2,2,29.1123,503.866,480.044,184.875,171.444,188.304,28.9581,1
2037,2011,2012,250,400,4750,16.27,4.75,11.6471,3.16682,8.5,240,30,25,2,25,0,12,2,12,2,8,150,2,2,25,2,25,0,12,2,12,0,8,150,2,2,25,2,25,0,12,2,12,1,8,150,2,2,19.934,486.271,475.74,188.445,192.039,186.932,35.0117,1
2038,2013,2014,250,400,2950,8.89,2.95,6.72688,1.96677,8.5,240,30,25,2,25,0,12,2,12,2,8,150,2,2,25,2,25,0,12,2,12,0,8,150,2,2,25,2,25,0,12,2,12,2,8,150,2,2,17.9784,483.864,495.677,157.249,150.364,173.084,19.771,1
2039,2014,2015,250,400,4750,16.27,4.75,11.6471,3.16682,8.5,240,30,25,2,25,0,12,2,12,2,8,150,2,2,25,2,25,0,12,2,12,0,8,150,2,2,25,2,25,0,12,2,12,2,8,150,2,2,24.2978,468.017,455.259,182.549,168.808,165.569,31.2338,1
2040,2015,2016,250,400,4750,16.27,4.75,11.6471,3.16682,8.5,240,30,25,2,25,0,12,2,12,2,8,150,2,2,25,2,25,0,12,2,12,0,8,150,2,2,25,2,25,0,12,2,12,1,8,150,2,2,27.358,478.043,499.867,150.494,160.605,182.807,26.6804,1
2041,2017,2018,250,400,2950,8.89,2.95,6.72688,1.96677,8.5,240,30,25,2,25,0,12,2,12,2,8,150,2,2,25,2,25,0,12,2,12,0,8,150,2,2,25,2,25,0,12,2,12,2,8,150,2,2,18.8946,476.073,463.998,167.997,171.07,190.035,29.6496,1
2042,2018,2019,250,400,4750,16.27,4.75,11.6471,3.16682,8.5,240,30,25,2,25,0,12,2,12,2,8,150,2,2,25,2,25,0,12,2,12,0,8,150,2,2,25,2,25,0,12,2,12,2,8,150,2,2,19.3334,499.066,463.074,175.452,171.075,172.251,33.6542,1
2043,2019,2020,250,400,4750,16.27,4.75,11.6471,3.16682,8.5,240,30,25,2,25,0,12,2,12,2,8,150,2,2,25,2,25,0,12,2,12,0,8,150,2,2,25,2,25,0,12,2,12,1,8,150,2,2,18.5659,478.58,499.265,151.328,158.673,189.835,32.0569,1
2044,2021,2022,250,450,2950,9.19,2.95,7.02688,1.96677,8.5,240,30,25,2,25,0,16,2,16,1,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,0,16,2,16,1,8,150,2,2,24.7897,492.872,479.337,151.728,175.954,156.65,26.1512,1
2045,2022,2023,250,450,4750,16.57,4.75,11.9471,3.16682,8.5,240,30,25,2,25,0,16,2,16,1,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,1,16,2,16,1,8,150,2,2,28.5234,484.765,469.127,160.767,167.569,164.886,25.4497,1
2046,2023,2024,250,450,4750,16.57,4.75,11.9471,3.16682,8.5,240,30,25,2,25,1,16,2,16,1,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,25,2,25,0,16,2,16,0,8,150,2,2,22.0624,494.265,505.91,165.981,192.116,182.303,36.9309,1
2047,2025,2026,250,500,2950,13.245,1.475,12.1634,0.983383,8.5,240,30,25,2,25,0,20,2,20,0,8,150,2,2,25,2,25,0,20,2,20,0,8,150,2,2,25,2,25,1,20,2,20,1,8,150,2,2,32.9475,448.525,474.92,181.52,192.125,166.197,30.1136,1
2048,2026,2027,250,500,4750,16.935,2.375,14.6236,1.58341,8.5,240,30,25,2,25,1,20,2,20,1,8,150,2,2,25,2,25,0,20,2,20,0,8,150,2,2,25,2,25,1,20,2,20,0,8,150,2,2,25.2683,497.57,499.166,158.577,167.203,173.508,45.157,1
2049,2027,2028,250,500,4750,16.935,2.375,14.6236,1.58341,8.5,240,30,25,2,25,1,20,2,20,0,8,150,2,2,25,2,25,0,20,2,20,0,8,150,2,2,25,2,25,1,20,2,20,0,8,150,2,2,27.7856,500.308,478.781,167.831,183.994,179.465,32.6425,1
3029,3001,3002,250,400,2950,2.4,0,2.4,0,8.5,240,30,20,2,20,0,12,2,12,1,6,125,2,2,20,2,20,0,12,2,12,0,6,125,2,2,20,2,20,1,12,2,12,1,6,125,2,2,23.4105,467.967,475.969,158.95,148.344,147.096,25.8048,1
3030,3002,3003,250,400,4750,16.335,2.375,14.0236,1.58341,8.5,240,30,20,2,20,1,12,2,12,1,6,125,2,2,20,2,20,0,12,2,12,0,6,125,2,2,20,2,20,1,12,2,12,1,6,125,2,2,27.7218,462.235,482.224,137.099,138.945,141.057,24.7756,1
3031,3003,3004,250,400,4750,16.335,2.375,14.0236,1.58341,8.5,240,30,20,2,20,1,12,2,12,1,6,125,2,2,20,2,20,0,12,2,12,0,6,125,2,2,20,2,20,0,12,2,12,0,6,125,2,2,36.5944,474.33,496.402,153.713,134.849,130.27,27.3861,1
3032,3005,3006,250,400,2950,20.065,9.2,18.9834,8.70838,8.5,240,30,20,2,20,0,12,2,12,0,6,125,2,2,20,2,20,0,12,2,12,0,6,125,2,2,20,2,20,0,12,2,12,0,6,125,2,2,25.4693,482.601,505.311,146.96,159.599,140.424,34.6341,1
3033,3006,3007,250,400,4750,16.27,4.75,11.6471,3.16682,8.5,240,30,20,2,20,0,12,2,12,0,6,125,2,2,20,2,20,0,12,2,12,0,6,125,2,2,20,2,20,1,12,2,12,0,6,125,2,2,22.204,480.727,486.185,126.999,132.095,133.488,29.4072,1
