node_id,x-coord [m],y-coord [m],z-coord [m],bottom_column,top_column,left_beam_x,right_beam_x,left_beam_y,right_beam_y,fcm [MPa],model_type_q
1,0,0,0,,1,,,,,inelastic,inelastic
2,7.3,0,0,,2,,,,,inelastic,inelastic
3,14.6,0,0,,4046,,,,,inelastic,inelastic
4,17.65,0,0,,4048,,,,,inelastic,inelastic
5,24.95,0,0,,5,,,,,inelastic,inelastic
6,32.25,0,0,,6,,,,,inelastic,inelastic
7,0,3.65,0,,7,,,,,inelastic,inelastic
8,7.3,3.65,0,,8,,,,,inelastic,inelastic
9,14.6,3.65,0,,9,,,,,inelastic,inelastic
10,17.65,3.65,0,,10,,,,,inelastic,inelastic
11,24.95,3.65,0,,11,,,,,inelastic,inelastic
12,32.25,3.65,0,,12,,,,,inelastic,inelastic
13,0,7.3,0,,13,,,,,inelastic,inelastic
14,7.3,7.3,0,,14,,,,,inelastic,inelastic
15,14.6,7.3,0,,15,,,,,inelastic,inelastic
16,17.65,7.3,0,,16,,,,,inelastic,inelastic
17,24.95,7.3,0,,17,,,,,inelastic,inelastic
18,32.25,7.3,0,,18,,,,,inelastic,inelastic
1001,0,0,2.65,1,1001,,1019,,1034,inelastic,inelastic
1002,7.3,0,2.65,2,1002,1019,1020,,1035,inelastic,inelastic
1003,14.6,0,2.65,4047,4051,1020,1021,,1036,inelastic,inelastic
1004,17.65,0,2.65,4049,4053,1021,1022,,1037,inelastic,inelastic
1005,24.95,0,2.65,5,1005,1022,1023,,1038,inelastic,inelastic
1006,32.25,0,2.65,6,1006,1023,,,1039,inelastic,inelastic
1007,0,3.65,2.65,7,1007,,1024,1034,1040,inelastic,inelastic
1008,7.3,3.65,2.65,8,1008,1024,1025,1035,1041,inelastic,inelastic
1009,14.6,3.65,2.65,9,1009,1025,1026,1036,1042,inelastic,inelastic
1010,17.65,3.65,2.65,10,1010,1026,1027,1037,1043,inelastic,inelastic
1011,24.95,3.65,2.65,11,1011,1027,1028,1038,1044,inelastic,inelastic
1012,32.25,3.65,2.65,12,1012,1028,,1039,1045,inelastic,inelastic
1013,0,7.3,2.65,13,1013,,1029,1040,,inelastic,inelastic
1014,7.3,7.3,2.65,14,1014,1029,1030,1041,,inelastic,inelastic
1015,14.6,7.3,2.65,15,1015,1030,1031,1042,,inelastic,inelastic
1016,17.65,7.3,2.65,16,1016,1031,1032,1043,,inelastic,inelastic
1017,24.95,7.3,2.65,17,1017,1032,1033,1044,,inelastic,inelastic
1018,32.25,7.3,2.65,18,1018,1033,,1045,,inelastic,inelastic
2001,0,0,5.3,1001,2001,,2019,,2034,inelastic,inelastic
2002,7.3,0,5.3,1002,2002,2019,2020,,2035,inelastic,inelastic
2003,14.6,0,5.3,4052,4056,2020,2021,,2036,inelastic,inelastic
2004,17.65,0,5.3,4054,4058,2021,2022,,2037,inelastic,inelastic
2005,24.95,0,5.3,1005,2005,2022,2023,,2038,inelastic,inelastic
2006,32.25,0,5.3,1006,2006,2023,,,2039,inelastic,inelastic
2007,0,3.65,5.3,1007,2007,,2024,2034,2040,inelastic,inelastic
2008,7.3,3.65,5.3,1008,2008,2024,2025,2035,2041,inelastic,inelastic
2009,14.6,3.65,5.3,1009,2009,2025,2026,2036,2042,inelastic,inelastic
2010,17.65,3.65,5.3,1010,2010,2026,2027,2037,2043,inelastic,inelastic
2011,24.95,3.65,5.3,1011,2011,2027,2028,2038,2044,inelastic,inelastic
2012,32.25,3.65,5.3,1012,2012,2028,,2039,2045,inelastic,inelastic
2013,0,7.3,5.3,1013,2013,,2029,2040,,inelastic,inelastic
2014,7.3,7.3,5.3,1014,2014,2029,2030,2041,,inelastic,inelastic
2015,14.6,7.3,5.3,1015,2015,2030,2031,2042,,inelastic,inelastic
2016,17.65,7.3,5.3,1016,2016,2031,2032,2043,,inelastic,inelastic
2017,24.95,7.3,5.3,1017,2017,2032,2033,2044,,inelastic,inelastic
2018,32.25,7.3,5.3,1018,2018,2033,,2045,,inelastic,inelastic
3001,0,0,7.95,2001,3001,,3019,,3034,inelastic,inelastic
3002,7.3,0,7.95,2002,3002,3019,3020,,3035,inelastic,inelastic
3003,14.6,0,7.95,4057,4061,3020,3021,,3036,inelastic,inelastic
3004,17.65,0,7.95,4059,4063,3021,3022,,3037,inelastic,inelastic
3005,24.95,0,7.95,2005,3005,3022,3023,,3038,inelastic,inelastic
3006,32.25,0,7.95,2006,3006,3023,,,3039,inelastic,inelastic
3007,0,3.65,7.95,2007,3007,,3024,3034,3040,inelastic,inelastic
3008,7.3,3.65,7.95,2008,3008,3024,3025,3035,3041,inelastic,inelastic
3009,14.6,3.65,7.95,2009,3009,3025,3026,3036,3042,inelastic,inelastic
3010,17.65,3.65,7.95,2010,3010,3026,3027,3037,3043,inelastic,inelastic
3011,24.95,3.65,7.95,2011,3011,3027,3028,3038,3044,inelastic,inelastic
3012,32.25,3.65,7.95,2012,3012,3028,,3039,3045,inelastic,inelastic
3013,0,7.3,7.95,2013,3013,,3029,3040,,inelastic,inelastic
3014,7.3,7.3,7.95,2014,3014,3029,3030,3041,,inelastic,inelastic
3015,14.6,7.3,7.95,2015,3015,3030,3031,3042,,inelastic,inelastic
3016,17.65,7.3,7.95,2016,3016,3031,3032,3043,,inelastic,inelastic
3017,24.95,7.3,7.95,2017,3017,3032,3033,3044,,inelastic,inelastic
3018,32.25,7.3,7.95,2018,3018,3033,,3045,,inelastic,inelastic
4001,0,0,10.6,3001,,,4019,,4034,inelastic,inelastic
4002,7.3,0,10.6,3002,,4019,4020,,4035,inelastic,inelastic
4003,14.6,0,10.6,4062,,4020,4021,,4036,inelastic,inelastic
4004,17.65,0,10.6,4064,,4021,4022,,4037,inelastic,inelastic
4005,24.95,0,10.6,3005,,4022,4023,,4038,inelastic,inelastic
4006,32.25,0,10.6,3006,,4023,,,4039,inelastic,inelastic
4007,0,3.65,10.6,3007,,,4024,4034,4040,inelastic,inelastic
4008,7.3,3.65,10.6,3008,,4024,4025,4035,4041,inelastic,inelastic
4009,14.6,3.65,10.6,3009,,4025,4026,4036,4042,inelastic,inelastic
4010,17.65,3.65,10.6,3010,,4026,4027,4037,4043,inelastic,inelastic
4011,24.95,3.65,10.6,3011,,4027,4028,4038,4044,inelastic,inelastic
4012,32.25,3.65,10.6,3012,,4028,,4039,4045,inelastic,inelastic
4013,0,7.3,10.6,3013,,,4029,4040,,inelastic,inelastic
4014,7.3,7.3,10.6,3014,,4029,4030,4041,,inelastic,inelastic
4015,14.6,7.3,10.6,3015,,4030,4031,4042,,inelastic,inelastic
4016,17.65,7.3,10.6,3016,,4031,4032,4043,,inelastic,inelastic
4017,24.95,7.3,10.6,3017,,4032,4033,4044,,inelastic,inelastic
4018,32.25,7.3,10.6,3018,,4033,,4045,,inelastic,inelastic
4019,14.6,0,1.325,4046,4047,,4050,,,inelastic,inelastic
4020,17.65,0,1.325,4048,4049,4050,,,,inelastic,inelastic
4021,14.6,0,3.975,4051,4052,,4055,,,inelastic,inelastic
4022,17.65,0,3.975,4053,4054,4055,,,,inelastic,inelastic
4023,14.6,0,6.625,4056,4057,,4060,,,inelastic,inelastic
4024,17.65,0,6.625,4058,4059,4060,,,,inelastic,inelastic
4025,14.6,0,9.275,4061,4062,,4065,,,inelastic,inelastic
4026,17.65,0,9.275,4063,4064,4065,,,,inelastic,inelastic
