column_id,node_i,node_j,bx [mm],by [mm],length [mm],wg [kN/m],wq [kN/m],fcd [MPa],fsyd [MPa],cover [mm],dbl_cor [mm],dbl_int [mm],nblx_int,nbly_int,dbh [mm],sbh [mm],nbh_x,nbh_y,fcm_q [MPa],fsyml_q [MPa],fsymh_q [MPa],sbh_q [mm],cover_q [mm],bondslip_factor_q
3,3,1003,400,400,3050,3.84,0,11.5,240,30,12,12,3,1,6,75,2,2,21.6588,468.424,484.468,86.9791,24.1866,1
4,4,1004,300,300,3050,2.16,0,11.5,240,30,12,12,0,1,6,125,2,2,32.7611,478.501,474.138,155.608,27.1047,1
5,5,1005,300,300,3050,2.16,0,11.5,240,30,12,12,0,1,6,125,2,2,30.9296,486.615,494.327,156.192,33.4985,1
6,6,1006,400,400,3050,3.84,0,11.5,240,30,12,12,3,3,6,75,2,2,30.6947,489.257,476.547,81.44,29.2005,1
7,7,1007,450,450,3050,4.86,0,11.5,240,30,12,12,5,4,6,50,2,2,29.2677,489.237,483.398,52.6637,25.9344,1
8,8,1008,400,400,3050,3.84,0,11.5,240,30,12,12,2,2,6,75,2,2,27.0924,480.084,480.698,91.2703,26.0272,1
9,9,1009,300,300,3050,2.16,0,11.5,240,30,12,12,0,1,6,125,2,2,33.9536,501.017,474.587,140.638,33.1874,1
10,10,1010,400,400,3050,3.84,0,11.5,240,30,12,12,3,4,6,75,2,2,28.7662,474.811,498.021,79.0939,32.3644,1
11,11,1011,450,450,3050,4.86,0,11.5,240,30,12,12,5,5,6,50,2,2,28.2133,479.442,492.505,59.0652,22.1242,1
12,12,1012,400,400,3050,3.84,0,11.5,240,30,12,12,2,2,6,75,2,2,33.9868,488.1,492.14,77.532,35.8248,1
13,13,1013,250,250,3050,1.5,0,11.5,240,30,12,12,0,0,6,125,2,2,32.4242,493.021,500.689,128.582,24.1745,1
14,14,1014,350,350,3050,2.94,0,11.5,240,30,12,12,1,2,6,100,2,2,25.6176,477.414,447.445,100.362,26.0573,1
15,15,1015,400,400,3050,3.84,0,11.5,240,30,16,12,1,2,6,75,2,2,32.1718,492.53,479.763,79.6594,19.3211,1
16,16,1016,300,300,3050,2.16,0,11.5,240,30,12,12,0,1,6,125,2,2,26.6974,478.33,498.809,142.963,30.0942,1
1003,1003,2003,400,400,2750,3.84,0,11.5,240,30,12,12,0,3,6,75,2,2,37.4254,486.892,466.913,78.652,36.9396,1
1004,1004,2004,300,300,2750,2.16,0,11.5,240,30,12,12,1,0,6,100,2,2,39.449,452.172,471.787,102.061,40.2844,1
1005,1005,2005,300,300,2750,2.16,0,11.5,240,30,12,12,0,1,6,125,2,2,31.8613,457.087,480.152,143.469,29.4525,1
1006,1006,2006,400,400,2750,3.84,0,11.5,240,30,12,12,0,3,6,100,2,2,39.1986,499.072,485.592,127.094,23.2892,1
1007,1007,2007,450,450,2750,4.86,0,11.5,240,30,12,12,0,4,6,75,2,2,24.1139,465.006,474.84,75.2588,29.6158,1
1008,1008,2008,400,400,2750,3.84,0,11.5,240,30,12,12,0,3,6,125,2,2,32.0376,485.04,473.964,133.553,26.864,1
