node_id,x-coord [m],y-coord [m],z-coord [m],bottom_column,top_column,left_beam_x,right_beam_x,left_beam_y,right_beam_y,fcm [MPa],model_type_q
1,0,0,0,,1,,,,,elastic,elastic
2,3.9,0,0,,2,,,,,elastic,elastic
3,7.8,0,0,,4046,,,,,elastic,elastic
4,10.8,0,0,,4048,,,,,elastic,elastic
5,14.7,0,0,,5,,,,,elastic,elastic
6,18.6,0,0,,6,,,,,elastic,elastic
7,0,5.35,0,,7,,,,,elastic,elastic
8,3.9,5.35,0,,8,,,,,elastic,elastic
9,7.8,5.35,0,,9,,,,,elastic,elastic
10,10.8,5.35,0,,10,,,,,elastic,elastic
11,14.7,5.35,0,,11,,,,,elastic,elastic
12,18.6,5.35,0,,12,,,,,elastic,elastic
13,0,10.7,0,,13,,,,,elastic,elastic
14,3.9,10.7,0,,14,,,,,elastic,elastic
15,7.8,10.7,0,,15,,,,,elastic,elastic
16,10.8,10.7,0,,16,,,,,elastic,elastic
17,14.7,10.7,0,,17,,,,,elastic,elastic
18,18.6,10.7,0,,18,,,,,elastic,elastic
1001,0,0,3.05,1,1001,,1019,,1034,elastic,elastic
1002,3.9,0,3.05,2,1002,1019,1020,,1035,elastic,elastic
1003,7.8,0,3.05,4047,4051,1020,1021,,1036,elastic,elastic
1004,10.8,0,3.05,4049,4053,1021,1022,,1037,elastic,elastic
1005,14.7,0,3.05,5,1005,1022,1023,,1038,elastic,elastic
1006,18.6,0,3.05,6,1006,1023,,,1039,elastic,elastic
1007,0,5.35,3.05,7,1007,,1024,1034,1040,elastic,elastic
1008,3.9,5.35,3.05,8,1008,1024,1025,1035,1041,elastic,elastic
1009,7.8,5.35,3.05,9,1009,1025,1026,1036,1042,elastic,elastic
1010,10.8,5.35,3.05,10,1010,1026,1027,1037,1043,elastic,elastic
1011,14.7,5.35,3.05,11,1011,1027,1028,1038,1044,elastic,elastic
1012,18.6,5.35,3.05,12,1012,1028,,1039,1045,elastic,elastic
1013,0,10.7,3.05,13,1013,,1029,1040,,elastic,elastic
1014,3.9,10.7,3.05,14,1014,1029,1030,1041,,elastic,elastic
