node_id,x-coord [m],y-coord [m],z-coord [m],bottom_column,top_column,left_beam_x,right_beam_x,left_beam_y,right_beam_y,fcm [MPa],model_type_q
1,0,0,0,,1,,,,,rigid,rigid
2,4.5,0,0,,2,,,,,rigid,rigid
3,9,0,0,,4063,,,,,rigid,rigid
4,12,0,0,,4065,,,,,rigid,rigid
5,16.5,0,0,,5,,,,,rigid,rigid
6,21,0,0,,6,,,,,rigid,rigid
7,0,4.5,0,,7,,,,,rigid,rigid
8,4.5,4.5,0,,8,,,,,rigid,rigid
9,9,4.5,0,,9,,,,,rigid,rigid
10,12,4.5,0,,10,,,,,rigid,rigid
11,16.5,4.5,0,,11,,,,,rigid,rigid
12,21,4.5,0,,12,,,,,rigid,rigid
13,0,9,0,,13,,,,,rigid,rigid
14,4.5,9,0,,14,,,,,rigid,rigid
15,9,9,0,,15,,,,,rigid,rigid
16,12,9,0,,16,,,,,rigid,rigid
17,16.5,9,0,,17,,,,,rigid,rigid
18,21,9,0,,18,,,,,rigid,rigid
19,0,13.5,0,,19,,,,,rigid,rigid
20,4.5,13.5,0,,20,,,,,rigid,rigid
21,9,13.5,0,,21,,,,,rigid,rigid
22,12,13.5,0,,22,,,,,rigid,rigid
23,16.5,13.5,0,,23,,,,,rigid,rigid
24,21,13.5,0,,24,,,,,rigid,rigid
1001,0,0,3.1,1,1001,,1025,,1045,rigid,rigid
1002,4.5,0,3.1,2,1002,1025,1026,,1046,rigid,rigid
1003,9,0,3.1,4064,4068,1026,1027,,1047,rigid,rigid
1004,12,0,3.1,4066,4070,1027,1028,,1048,rigid,rigid
1005,16.5,0,3.1,5,1005,1028,1029,,1049,rigid,rigid
1006,21,0,3.1,6,1006,1029,,,1050,rigid,rigid
1007,0,4.5,3.1,7,1007,,1030,1045,1051,rigid,rigid
1008,4.5,4.5,3.1,8,1008,1030,1031,1046,1052,rigid,rigid
1009,9,4.5,3.1,9,1009,1031,1032,1047,1053,rigid,rigid
1010,12,4.5,3.1,10,1010,1032,1033,1048,1054,rigid,rigid
1011,16.5,4.5,3.1,11,1011,1033,1034,1049,1055,rigid,rigid
1012,21,4.5,3.1,12,1012,1034,,1050,1056,rigid,rigid
1013,0,9,3.1,13,1013,,1035,1051,1057,rigid,rigid
1014,4.5,9,3.1,14,1014,1035,1036,1052,1058,rigid,rigid
1015,9,9,3.1,15,1015,1036,1037,1053,1059,rigid,rigid
1016,12,9,3.1,16,1016,1037,1038,1054,1060,rigid,rigid
1017,16.5,9,3.1,17,1017,1038,1039,1055,1061,rigid,rigid
1018,21,9,3.1,18,1018,1039,,1056,1062,rigid,rigid
1019,0,13.5,3.1,19,1019,,1040,1057,,rigid,rigid
1020,4.5,13.5,3.1,20,1020,1040,1041,1058,,rigid,rigid
1021,9,13.5,3.1,21,1021,1041,1042,1059,,rigid,rigid
1022,12,13.5,3.1,22,1022,1042,1043,1060,,rigid,rigid
1023,16.5,13.5,3.1,23,1023,1043,1044,1061,,rigid,rigid
1024,21,13.5,3.1,24,1024,1044,,1062,,rigid,rigid
2001,0,0,5.9,1001,2001,,2025,,2045,rigid,rigid
2002,4.5,0,5.9,1002,2002,2025,2026,,2046,rigid,rigid
2003,9,0,5.9,4069,4073,2026,2027,,2047,rigid,rigid
2004,12,0,5.9,4071,4075,2027,2028,,2048,rigid,rigid
2005,16.5,0,5.9,1005,2005,2028,2029,,2049,rigid,rigid
2006,21,0,5.9,1006,2006,2029,,,2050,rigid,rigid
2007,0,4.5,5.9,1007,2007,,2030,2045,2051,rigid,rigid
2008,4.5,4.5,5.9,1008,2008,2030,2031,2046,2052,rigid,rigid
2009,9,4.5,5.9,1009,2009,2031,2032,2047,2053,rigid,rigid
2010,12,4.5,5.9,1010,2010,2032,2033,2048,2054,rigid,rigid
2011,16.5,4.5,5.9,1011,2011,2033,2034,2049,2055,rigid,rigid
2012,21,4.5,5.9,1012,2012,2034,,2050,2056,rigid,rigid
2013,0,9,5.9,1013,2013,,2035,2051,2057,rigid,rigid
2014,4.5,9,5.9,1014,2014,2035,2036,2052,2058,rigid,rigid
2015,9,9,5.9,1015,2015,2036,2037,2053,2059,rigid,rigid
2016,12,9,5.9,1016,2016,2037,2038,2054,2060,rigid,rigid
2017,16.5,9,5.9,1017,2017,2038,2039,2055,2061,rigid,rigid
2018,21,9,5.9,1018,2018,2039,,2056,2062,rigid,rigid
2019,0,13.5,5.9,1019,2019,,2040,2057,,rigid,rigid
2020,4.5,13.5,5.9,1020,2020,2040,2041,2058,,rigid,rigid
2021,9,13.5,5.9,1021,2021,2041,2042,2059,,rigid,rigid
2022,12,13.5,5.9,1022,2022,2042,2043,2060,,rigid,rigid
2023,16.5,13.5,5.9,1023,2023,2043,2044,2061,,rigid,rigid
2024,21,13.5,5.9,1024,2024,2044,,2062,,rigid,rigid
3001,0,0,8.7,2001,3001,,3025,,3045,rigid,rigid
3002,4.5,0,8.7,2002,3002,3025,3026,,3046,rigid,rigid
3003,9,0,8.7,4074,4078,3026,3027,,3047,rigid,rigid
3004,12,0,8.7,4076,4080,3027,3028,,3048,rigid,rigid
3005,16.5,0,8.7,2005,3005,3028,3029,,3049,rigid,rigid
3006,21,0,8.7,2006,3006,3029,,,3050,rigid,rigid
3007,0,4.5,8.7,2007,3007,,3030,3045,3051,rigid,rigid
3008,4.5,4.5,8.7,2008,3008,3030,3031,3046,3052,rigid,rigid
3009,9,4.5,8.7,2009,3009,3031,3032,3047,3053,rigid,rigid
3010,12,4.5,8.7,2010,3010,3032,3033,3048,3054,rigid,rigid
3011,16.5,4.5,8.7,2011,3011,3033,3034,3049,3055,rigid,rigid
3012,21,4.5,8.7,2012,3012,3034,,3050,3056,rigid,rigid
3013,0,9,8.7,2013,3013,,3035,3051,3057,rigid,rigid
3014,4.5,9,8.7,2014,3014,3035,3036,3052,3058,rigid,rigid
3015,9,9,8.7,2015,3015,3036,3037,3053,3059,rigid,rigid
3016,12,9,8.7,2016,3016,3037,3038,3054,3060,rigid,rigid
3017,16.5,9,8.7,2017,3017,3038,3039,3055,3061,rigid,rigid
3018,21,9,8.7,2018,3018,3039,,3056,3062,rigid,rigid
3019,0,13.5,8.7,2019,3019,,3040,3057,,rigid,rigid
3020,4.5,13.5,8.7,2020,3020,3040,3041,3058,,rigid,rigid
3021,9,13.5,8.7,2021,3021,3041,3042,3059,,rigid,rigid
3022,12,13.5,8.7,2022,3022,3042,3043,3060,,rigid,rigid
3023,16.5,13.5,8.7,2023,3023,3043,3044,3061,,rigid,rigid
3024,21,13.5,8.7,2024,3024,3044,,3062,,rigid,rigid
4001,0,0,11.5,3001,,,4025,,4045,rigid,rigid
4002,4.5,0,11.5,3002,,4025,4026,,4046,rigid,rigid
4003,9,0,11.5,4079,,4026,4027,,4047,rigid,rigid
4004,12,0,11.5,4081,,4027,4028,,4048,rigid,rigid
4005,16.5,0,11.5,3005,,4028,4029,,4049,rigid,rigid
4006,21,0,11.5,3006,,4029,,,4050,rigid,rigid
4007,0,4.5,11.5,3007,,,4030,4045,4051,rigid,rigid
4008,4.5,4.5,11.5,3008,,4030,4031,4046,4052,rigid,rigid
4009,9,4.5,11.5,3009,,4031,4032,4047,4053,rigid,rigid
4010,12,4.5,11.5,3010,,4032,4033,4048,4054,rigid,rigid
4011,16.5,4.5,11.5,3011,,4033,4034,4049,4055,rigid,rigid
4012,21,4.5,11.5,3012,,4034,,4050,4056,rigid,rigid
4013,0,9,11.5,3013,,,4035,4051,4057,rigid,rigid
4014,4.5,9,11.5,3014,,4035,4036,4052,4058,rigid,rigid
4015,9,9,11.5,3015,,4036,4037,4053,4059,rigid,rigid
4016,12,9,11.5,3016,,4037,4038,4054,4060,rigid,rigid
4017,16.5,9,11.5,3017,,4038,4039,4055,4061,rigid,rigid
4018,21,9,11.5,3018,,4039,,4056,4062,rigid,rigid
4019,0,13.5,11.5,3019,,,4040,4057,,rigid,rigid
4020,4.5,13.5,11.5,3020,,4040,4041,4058,,rigid,rigid
4021,9,13.5,11.5,3021,,4041,4042,4059,,rigid,rigid
4022,12,13.5,11.5,3022,,4042,4043,4060,,rigid,rigid
4023,16.5,13.5,11.5,3023,,4043,4044,4061,,rigid,rigid
4024,21,13.5,11.5,3024,,4044,,4062,,rigid,rigid
4025,9,0,1.55,4063,4064,,4067,,,rigid,rigid
4026,12,0,1.55,4065,4066,4067,,,,rigid,rigid
4027,9,0,4.5,4068,4069,,4072,,,rigid,rigid
