node_id,x-coord [m],y-coord [m],z-coord [m],bottom_column,top_column,left_beam_x,right_beam_x,left_beam_y,right_beam_y,fcm [MPa],model_type_q
1,0,0,0,,1,,,,,elastic,elastic
2,5.9,0,0,,4030,,,,,elastic,elastic
3,8.75,0,0,,4032,,,,,elastic,elastic
4,14.65,0,0,,4,,,,,elastic,elastic
5,0,4.15,0,,5,,,,,elastic,elastic
6,5.9,4.15,0,,6,,,,,elastic,elastic
7,8.75,4.15,0,,7,,,,,elastic,elastic
8,14.65,4.15,0,,8,,,,,elastic,elastic
9,0,8.3,0,,9,,,,,elastic,elastic
10,5.9,8.3,0,,10,,,,,elastic,elastic
11,8.75,8.3,0,,11,,,,,elastic,elastic
12,14.65,8.3,0,,12,,,,,elastic,elastic
1001,0,0,2.75,1,1001,,1013,,1022,elastic,elastic
1002,5.9,0,2.75,4031,4035,1013,1014,,1023,elastic,elastic
1003,8.75,0,2.75,4033,4037,1014,1015,,1024,elastic,elastic
1004,14.65,0,2.75,4,1004,1015,,,1025,elastic,elastic
1005,0,4.15,2.75,5,1005,,1016,1022,1026,elastic,elastic
1006,5.9,4.15,2.75,6,1006,1016,1017,1023,1027,elastic,elastic
1007,8.75,4.15,2.75,7,1007,1017,1018,1024,1028,elastic,elastic
1008,14.65,4.15,2.75,8,1008,1018,,1025,1029,elastic,elastic
1009,0,8.3,2.75,9,1009,,1019,1026,,elastic,elastic
1010,5.9,8.3,2.75,10,1010,1019,1020,1027,,elastic,elastic
1011,8.75,8.3,2.75,11,1011,1020,1021,1028,,elastic,elastic
1012,14.65,8.3,2.75,12,1012,1021,,1029,,elastic,elastic
2001,0,0,5.5,1001,2001,,2013,,2022,elastic,elastic
2002,5.9,0,5.5,4036,4040,2013,2014,,2023,elastic,elastic
2003,8.75,0,5.5,4038,4042,2014,2015,,2024,elastic,elastic
2004,14.65,0,5.5,1004,2004,2015,,,2025,elastic,elastic
2005,0,4.15,5.5,1005,2005,,2016,2022,2026,elastic,elastic
2006,5.9,4.15,5.5,1006,2006,2016,2017,2023,2027,elastic,elastic
2007,8.75,4.15,5.5,1007,2007,2017,2018,2024,2028,elastic,elastic
2008,14.65,4.15,5.5,1008,2008,2018,,2025,2029,elastic,elastic
2009,0,8.3,5.5,1009,2009,,2019,2026,,elastic,elastic
2010,5.9,8.3,5.5,1010,2010,2019,2020,2027,,elastic,elastic
2011,8.75,8.3,5.5,1011,2011,2020,2021,2028,,elastic,elastic
2012,14.65,8.3,5.5,1012,2012,2021,,2029,,elastic,elastic
3001,0,0,8.25,2001,3001,,3013,,3022,elastic,elastic
3002,5.9,0,8.25,4041,4045,3013,3014,,3023,elastic,elastic
3003,8.75,0,8.25,4043,4047,3014,3015,,3024,elastic,elastic
3004,14.65,0,8.25,2004,3004,3015,,,3025,elastic,elastic
3005,0,4.15,8.25,2005,3005,,3016,3022,3026,elastic,elastic
3006,5.9,4.15,8.25,2006,3006,3016,3017,3023,3027,elastic,elastic
3007,8.75,4.15,8.25,2007,3007,3017,3018,3024,3028,elastic,elastic
3008,14.65,4.15,8.25,2008,3008,3018,,3025,3029,elastic,elastic
3009,0,8.3,8.25,2009,3009,,3019,3026,,elastic,elastic
3010,5.9,8.3,8.25,2010,3010,3019,3020,3027,,elastic,elastic
3011,8.75,8.3,8.25,2011,3011,3020,3021,3028,,elastic,elastic
3012,14.65,8.3,8.25,2012,3012,3021,,3029,,elastic,elastic
4001,0,0,11,3001,,,4013,,4022,elastic,elastic
4002,5.9,0,11,4046,,4013,4014,,4023,elastic,elastic
4003,8.75,0,11,4048,,4014,4015,,4024,elastic,elastic
4004,14.65,0,11,3004,,4015,,,4025,elastic,elastic
4005,0,4.15,11,3005,,,4016,4022,4026,elastic,elastic
4006,5.9,4.15,11,3006,,4016,4017,4023,4027,elastic,elastic
4007,8.75,4.15,11,3007,,4017,4018,4024,4028,elastic,elastic
4008,14.65,4.15,11,3008,,4018,,4025,4029,elastic,elastic
4009,0,8.3,11,3009,,,4019,4026,,elastic,elastic
4010,5.9,8.3,11,3010,,4019,4020,4027,,elastic,elastic
4011,8.75,8.3,11,3011,,4020,4021,4028,,elastic,elastic
4012,14.65,8.3,11,3012,,4021,,4029,,elastic,elastic
4013,5.9,0,1.375,4030,4031,,4034,,,elastic,elastic
4014,8.75,0,1.375,4032,4033,4034,,,,elastic,elastic
4015,5.9,0,4.125,4035,4036,,4039,,,elastic,elastic
4016,8.75,0,4.125,4037,4038,4039,,,,elastic,elastic
4017,5.9,0,6.875,4040,4041,,4044,,,elastic,elastic
4018,8.75,0,6.875,4042,4043,4044,,,,elastic,elastic
4019,5.9,0,9.625,4045,4046,,4049,,,elastic,elastic
4020,8.75,0,9.625,4047,4048,4049,,,,elastic,elastic
