beam_id,node_i,node_j,b [mm],h [mm],length [mm],wg [kN/m],wq [kN/m],wg_alpha [kN/m],wq_alpha [kN/m],fcd [MPa],fsyd [MPa],cover [mm],dbl_t1_i [mm],nbl_t1_i,dbl_t2_i [mm],nbl_t2_i,dbl_b1_i [mm],nbl_b1_i,dbl_b2_i [mm],nbl_b2_i,dbh_i [mm],sbh_i [mm],nbh_b_i,nbh_h_i,dbl_t1_mid [mm],nbl_t1_mid,dbl_t2_mid [mm],nbl_t2_mid,dbl_b1_mid [mm],nbl_b1_mid,dbl_b2_mid [mm],nbl_b2_mid,dbh_mid [mm],sbh_mid [mm],nbh_b_mid,nbh_h_mid,dbl_t1_j [mm],nbl_t1_j,dbl_t2_j [mm],nbl_t2_j,dbl_b1_j [mm],nbl_b1_j,dbl_b2_j [mm],nbl_b2_j,dbh_j [mm],sbh_j [mm],nbh_b_j,nbh_h_j,fcm_q [MPa],fsyml_q [MPa],fsymh_q [MPa],sbh_i_q [mm],sbh_mid_q [mm],sbh_j_q [mm],cover_q [mm],bondslip_factor_q
1013,1001,1002,300,600,5900,21.6104,4.15,21.6104,4.15,7,240,30,16,2,16,1,12,2,12,0,6,125,2,2,16,2,16,0,12,2,12,2,6,125,2,2,16,2,16,2,12,2,12,2,6,125,2,2,15.7894,492.53,485.244,148.433,133.203,133.837,34.2117,1
1014,1002,1003,300,600,2850,4.32,0,4.32,0,7,240,30,16,2,16,2,12,2,12,2,6,125,2,2,16,2,16,0,12,2,12,0,6,125,2,2,16,2,16,2,12,2,12,2,6,125,2,2,35.1464,478.33,480.09,141.714,152.733,159.987,28.0498,1
1015,1003,1004,300,600,5900,21.6104,4.15,21.6104,4.15,7,240,30,16,2,16,2,12,2,12,2,6,125,2,2,16,2,16,0,12,2,12,2,6,125,2,2,16,2,16,1,12,2,12,0,6,125,2,2,31.084,486.892,476.286,150.423,134.788,154.952,32.9292,1
1016,1005,1006,500,550,5900,27.1808,8.3,27.1808,8.3,7,240,30,12,2,12,6,12,2,12,0,6,125,2,2,12,2,12,0,12,2,12,3,6,125,2,2,12,2,12,6,12,2,12,1,6,125,2,2,25.2121,452.172,474.99,136.282,160.191,137.88,30.9842,1
1017,1006,1007,500,550,2850,18.22,6.225,18.22,6.225,7,240,30,12,2,12,6,12,2,12,1,6,125,2,2,12,2,12,0,12,2,12,0,6,125,2,2,12,2,12,6,12,2,12,1,6,125,2,2,22.4306,457.087,500.398,137.089,160.893,141.869,25.4955,1
1018,1007,1008,500,550,5900,27.1808,8.3,27.1808,8.3,7,240,30,12,2,12,6,12,2,12,1,6,125,2,2,12,2,12,0,12,2,12,3,6,125,2,2,12,2,12,6,12,2,12,0,6,125,2,2,24.6133,499.072,486.102,162.435,131.008,128.792,30.7141,1
1019,1009,1010,300,600,5900,21.6104,4.15,21.6104,4.15,7,240,30,16,2,16,1,12,2,12,0,6,125,2,2,16,2,16,0,12,2,12,2,6,125,2,2,16,2,16,1,12,2,12,0,6,125,2,2,17.5907,465.006,481.028,133.935,155.46,147.102,29.6408,1
1020,1010,1011,300,600,2850,11.32,0,11.32,0,7,240,30,16,2,16,1,12,2,12,0,6,125,2,2,16,2,16,0,12,2,12,0,6,125,2,2,16,2,16,1,12,2,12,0,6,125,2,2,19.1041,485.04,459.895,153.607,126.767,152.334,27.5901,1
1021,1011,1012,300,600,5900,21.6104,4.15,21.6104,4.15,7,240,30,16,2,16,1,12,2,12,0,6,125,2,2,16,2,16,0,12,2,12,2,6,125,2,2,16,2,16,1,12,2,12,0,6,125,2,2,21.5611,473.171,471.883,151.235,147.478,133.548,32.6267,1
2013,2001,2002,300,600,5900,21.6104,4.15,21.6104,4.15,7,240,30,16,2,16,1,12,2,12,0,6,125,2,2,16,2,16,0,12,2,12,2,6,125,2,2,16,2,16,1,12,2,12,0,6,125,2,2,19.7928,470.041,499.364,149.294,143.072,141.576,22.0247,1
2014,2002,2003,300,600,2850,4.32,0,4.32,0,7,240,30,16,2,16,1,12,2,12,0,6,125,2,2,16,2,16,0,12,2,12,0,6,125,2,2,16,2,16,1,12,2,12,0,6,125,2,2,15.198,476.608,481.719,129.559,147.484,150.307,28.1147,1
2015,2003,2004,300,600,5900,21.6104,4.15,21.6104,4.15,7,240,30,16,2,16,1,12,2,12,0,6,125,2,2,16,2,16,0,12,2,12,2,6,125,2,2,16,2,16,1,12,2,12,0,6,125,2,2,32.5755,497.669,475.639,125.209,153.497,141.599,29.0208,1
2016,2005,2006,500,550,5900,27.1808,8.3,27.1808,8.3,7,240,30,12,2,12,5,12,2,12,0,6,125,2,2,12,2,12,0,12,2,12,3,6,125,2,2,12,2,12,5,12,2,12,0,6,125,2,2,20.6829,482.13,452.641,152.958,157.626,145.645,44.2293,1
2017,2006,2007,500,550,2850,18.22,6.225,18.22,6.225,7,240,30,12,2,12,5,12,2,12,0,6,125,2,2,12,2,12,0,12,2,12,0,6,125,2,2,12,2,12,5,12,2,12,0,6,125,2,2,21.3451,496.89,472.105,128.114,143.863,132.307,33.2829,1
2018,2007,2008,500,550,5900,27.1808,8.3,27.1808,8.3,7,240,30,12,2,12,5,12,2,12,0,6,125,2,2,12,2,12,0,12,2,12,3,6,125,2,2,12,2,12,5,12,2,12,0,6,125,2,2,19.4384,486.414,472.13,134.102,127.762,154.812,31.9874,1
2019,2009,2010,300,600,5900,21.6104,4.15,21.6104,4.15,7,240,30,12,2,12,3,12,2,12,0,6,125,2,2,12,2,12,0,12,2,12,2,6,125,2,2,12,2,12,3,12,2,12,0,6,125,2,2,18.7274,480.037,468.717,162.096,159.266,129.11,24.5066,1
2020,2010,2011,300,600,2850,11.32,0,11.32,0,7,240,30,12,2,12,3,12,2,12,0,6,125,2,2,12,2,12,0,12,2,12,0,6,125,2,2,12,2,12,3,12,2,12,0,6,125,2,2,20.1123,480.183,475.237,161.229,127.279,142.652,29.0353,1
2021,2011,2012,300,600,5900,21.6104,4.15,21.6104,4.15,7,240,30,12,2,12,3,12,2,12,0,6,125,2,2,12,2,12,0,12,2,12,2,6,125,2,2,12,2,12,3,12,2,12,0,6,125,2,2,25.8226,470.776,470.117,159.55,154.793,135.917,28.0919,1
3013,3001,3002,300,600,5900,21.6104,4.15,21.6104,4.15,7,240,30,16,2,16,0,12,2,12,0,6,125,2,2,16,2,16,0,12,2,12,2,6,125,2,2,16,2,16,1,12,2,12,0,6,125,2,2,24.179,449.794,461.977,146.872,129.546,128.952,40.9692,1
