node_id,x-coord [m],y-coord [m],z-coord [m],bottom_column,top_column,left_beam_x,right_beam_x,left_beam_y,right_beam_y,fcm [MPa],model_type_q
1,0,0,0,,4052,,,,,elastic,elastic
2,2.9,0,0,,4054,,,,,elastic,elastic
3,6.6,0,0,,3,,,,,elastic,elastic
4,10.3,0,0,,4,,,,,elastic,elastic
5,0,5.7,0,,5,,,,,elastic,elastic
6,2.9,5.7,0,,6,,,,,elastic,elastic
7,6.6,5.7,0,,7,,,,,elastic,elastic
8,10.3,5.7,0,,8,,,,,elastic,elastic
9,0,11.4,0,,9,,,,,elastic,elastic
10,2.9,11.4,0,,10,,,,,elastic,elastic
11,6.6,11.4,0,,11,,,,,elastic,elastic
12,10.3,11.4,0,,12,,,,,elastic,elastic
13,0,17.1,0,,13,,,,,elastic,elastic
14,2.9,17.1,0,,14,,,,,elastic,elastic
15,6.6,17.1,0,,15,,,,,elastic,elastic
16,10.3,17.1,0,,16,,,,,elastic,elastic
17,0,22.8,0,,17,,,,,elastic,elastic
18,2.9,22.8,0,,18,,,,,elastic,elastic
19,6.6,22.8,0,,19,,,,,elastic,elastic
20,10.3,22.8,0,,20,,,,,elastic,elastic
1001,0,0,2.7,4053,4057,,1021,,1036,elastic,elastic
1002,2.9,0,2.7,4055,4059,1021,1022,,1037,elastic,elastic
1003,6.6,0,2.7,3,1003,1022,1023,,1038,elastic,elastic
1004,10.3,0,2.7,4,1004,1023,,,1039,elastic,elastic
1005,0,5.7,2.7,5,1005,,1024,1036,1040,elastic,elastic
1006,2.9,5.7,2.7,6,1006,1024,1025,1037,1041,elastic,elastic
1007,6.6,5.7,2.7,7,1007,1025,1026,1038,1042,elastic,elastic
1008,10.3,5.7,2.7,8,1008,1026,,1039,1043,elastic,elastic
1009,0,11.4,2.7,9,1009,,1027,1040,1044,elastic,elastic
1010,2.9,11.4,2.7,10,1010,1027,1028,1041,1045,elastic,elastic
1011,6.6,11.4,2.7,11,1011,1028,1029,1042,1046,elastic,elastic
1012,10.3,11.4,2.7,12,1012,1029,,1043,1047,elastic,elastic
1013,0,17.1,2.7,13,1013,,1030,1044,1048,elastic,elastic
1014,2.9,17.1,2.7,14,1014,1030,1031,1045,1049,elastic,elastic
1015,6.6,17.1,2.7,15,1015,1031,1032,1046,1050,elastic,elastic
1016,10.3,17.1,2.7,16,1016,1032,,1047,1051,elastic,elastic
1017,0,22.8,2.7,17,1017,,1033,1048,,elastic,elastic
1018,2.9,22.8,2.7,18,1018,1033,1034,1049,,elastic,elastic
1019,6.6,22.8,2.7,19,1019,1034,1035,1050,,elastic,elastic
1020,10.3,22.8,2.7,20,1020,1035,,1051,,elastic,elastic
2001,0,0,5.4,4058,4062,,2021,,2036,elastic,elastic
2002,2.9,0,5.4,4060,4064,2021,2022,,2037,elastic,elastic
2003,6.6,0,5.4,1003,2003,2022,2023,,2038,elastic,elastic
2004,10.3,0,5.4,1004,2004,2023,,,2039,elastic,elastic
2005,0,5.7,5.4,1005,2005,,2024,2036,2040,elastic,elastic
2006,2.9,5.7,5.4,1006,2006,2024,2025,2037,2041,elastic,elastic
2007,6.6,5.7,5.4,1007,2007,2025,2026,2038,2042,elastic,elastic
2008,10.3,5.7,5.4,1008,2008,2026,,2039,2043,elastic,elastic
2009,0,11.4,5.4,1009,2009,,2027,2040,2044,elastic,elastic
2010,2.9,11.4,5.4,1010,2010,2027,2028,2041,2045,elastic,elastic
2011,6.6,11.4,5.4,1011,2011,2028,2029,2042,2046,elastic,elastic
2012,10.3,11.4,5.4,1012,2012,2029,,2043,2047,elastic,elastic
2013,0,17.1,5.4,1013,2013,,2030,2044,2048,elastic,elastic
2014,2.9,17.1,5.4,1014,2014,2030,2031,2045,2049,elastic,elastic
