column_id,node_i,node_j,bx [mm],by [mm],length [mm],wg [kN/m],wq [kN/m],fcd [MPa],fsyd [MPa],cover [mm],dbl_cor [mm],dbl_int [mm],nblx_int,nbly_int,dbh [mm],sbh [mm],nbh_x,nbh_y,fcm_q [MPa],fsyml_q [MPa],fsymh_q [MPa],sbh_q [mm],cover_q [mm],bondslip_factor_q
3,3,1003,350,350,3700,2.94,0,8.5,240,30,12,12,4,2,6,125,2,2,21.8738,478.426,477.814,129.074,34.2798,0.5
4,4,1004,300,300,3700,2.16,0,8.5,240,30,12,12,2,1,6,125,2,2,26.9021,482.936,486.155,125.96,34.1115,0.5
5,5,1005,300,300,3700,2.16,0,8.5,240,30,12,12,3,1,6,125,2,2,26.1393,474.537,482.191,127.548,31.294,0.5
6,6,1006,350,350,3700,2.94,0,8.5,240,30,16,12,4,2,6,125,2,2,26.0399,476.793,491.631,125.355,28.4922,0.5
7,7,1007,400,400,3700,3.84,0,8.5,240,30,20,16,3,1,6,100,2,2,25.4273,485.703,479.557,104.353,25.9761,0.5
8,8,1008,350,350,3700,2.94,0,8.5,240,30,12,12,4,3,6,125,2,2,24.4642,486.283,474.139,125.626,27.2898,0.5
9,9,1009,300,300,3700,2.16,0,8.5,240,30,12,12,2,1,6,125,2,2,27.3873,477.318,474.431,126.37,33.9804,0.5
10,10,1010,350,350,3700,2.94,0,8.5,240,30,16,12,4,2,6,125,2,2,25.2086,488.914,483.195,129.429,31.6876,0.5
11,11,1011,400,400,3700,3.84,0,8.5,240,30,20,20,2,1,6,100,2,2,24.9651,482.091,480.955,103.805,26.4561,0.5
12,12,1012,350,350,3700,2.94,0,8.5,240,30,12,12,4,3,6,125,2,2,27.4007,480.036,476.256,126.356,36.3194,0.5
13,13,1013,300,300,3700,2.16,0,8.5,240,30,12,12,2,1,6,125,2,2,26.7634,478.511,480.574,125.97,30.0745,0.5
14,14,1014,350,350,3700,2.94,0,8.5,240,30,16,12,4,3,6,125,2,2,23.789,477.99,480.359,125.157,27.2892,0.5
15,15,1015,400,400,3700,3.84,0,8.5,240,30,20,16,3,2,6,100,2,2,26.659,488.057,485.165,100.399,29.847,0.5
16,16,1016,350,350,3700,2.94,0,8.5,240,30,12,12,4,3,6,125,2,2,24.2852,482.432,472.307,130.515,29.2433,0.5
17,17,1017,300,300,3700,2.16,0,8.5,240,30,12,12,2,1,6,125,2,2,28.7534,480.411,474.225,126.12,27.7128,0.5
18,18,1018,350,350,3700,2.94,0,8.5,240,30,16,12,4,3,6,100,2,2,29.5206,471.854,479.307,102.018,31.0364,0.5
19,19,1019,400,400,3700,3.84,0,8.5,240,30,20,16,3,2,6,75,2,2,26.5301,476.737,474.83,77.8876,30.197,0.5
20,20,1020,350,350,3700,2.94,0,8.5,240,30,12,12,4,4,6,125,2,2,29.4267,487.654,491.077,131.144,28.2518,0.5
21,21,1021,300,300,3700,2.16,0,8.5,240,30,12,12,3,2,6,125,2,2,23.0803,480.687,475.947,130.453,32.6666,0.5
