column_id,node_i,node_j,bx [mm],by [mm],length [mm],wg [kN/m],wq [kN/m],fcd [MPa],fsyd [MPa],cover [mm],dbl_cor [mm],dbl_int [mm],nblx_int,nbly_int,dbh [mm],sbh [mm],nbh_x,nbh_y,fcm_q [MPa],fsyml_q [MPa],fsymh_q [MPa],sbh_q [mm],cover_q [mm],bondslip_factor_q
1,1,1001,400,400,3550,3.84,0,7,240,30,12,12,2,1,6,125,2,2,14.4392,469.462,463.372,155.709,24.6331,1
4,4,1004,400,400,3550,3.84,0,7,240,30,12,12,2,1,6,125,2,2,21.8408,464.548,469.96,127.712,33.2076,1
5,5,1005,500,500,3550,6,0,7,240,30,20,20,1,0,6,100,2,2,20.6197,473.188,477.876,125.383,24.1654,1
6,6,1006,500,500,3550,6,0,7,240,30,20,16,3,1,6,75,2,2,20.4631,470.619,484.38,84.5321,26.4852,1
7,7,1007,500,500,3550,6,0,7,240,30,20,16,3,1,6,75,2,2,19.5118,473.253,463.988,78.1667,35.5806,1
8,8,1008,500,500,3550,6,0,7,240,30,20,20,1,0,6,100,2,2,18.0616,479.14,486.891,109.178,27.0225,1
9,9,1009,400,400,3550,3.84,0,7,240,30,12,12,2,1,6,125,2,2,22.6357,481.495,464.98,151.601,31.5106,1
10,10,1010,400,400,3550,3.84,0,7,240,30,12,12,3,2,6,125,2,2,19.1775,492.344,468.942,141.736,31.1217,1
11,11,1011,400,400,3550,3.84,0,7,240,30,12,12,3,2,6,125,2,2,18.8089,508.075,486.805,133.747,26.4662,1
12,12,1012,400,400,3550,3.84,0,7,240,30,12,12,2,1,6,125,2,2,22.6579,460.535,494.639,133.954,26.1933,1
1001,1001,2001,400,400,2550,3.84,0,7,240,30,12,12,0,3,6,75,2,2,21.6161,471.297,506.169,90.5964,26.8517,1
1004,1004,2004,400,400,2550,3.84,0,7,240,30,12,12,0,3,6,75,2,2,17.0784,484.428,484.741,89.5748,37.7952,1
1005,1005,2005,500,500,2550,6,0,7,240,30,20,20,0,1,6,50,2,2,21.4479,468.284,479.33,50.9589,19.79,1
1006,1006,2006,500,500,2550,6,0,7,240,30,20,16,0,1,6,75,2,2,17.7983,493.717,464.018,93.2816,22.9897,1
1007,1007,2007,500,500,2550,6,0,7,240,30,20,16,0,1,6,75,2,2,24.9503,470.719,481.783,78.1541,27.6428,1
