column_id,node_i,node_j,bx [mm],by [mm],length [mm],wg [kN/m],wq [kN/m],fcd [MPa],fsyd [MPa],cover [mm],dbl_cor [mm],dbl_int [mm],nblx_int,nbly_int,dbh [mm],sbh [mm],nbh_x,nbh_y,fcm_q [MPa],fsyml_q [MPa],fsymh_q [MPa],sbh_q [mm],cover_q [mm],bondslip_factor_q
1,1,1001,350,350,2900,2.94,0,7,140,30,16,12,0,1,6,75,2,2,11.6977,269.106,277.703,81.988,42.1506,1
2,2,1002,450,450,2900,4.86,0,7,140,30,12,12,5,2,6,50,2,2,21.7616,296.329,277.951,69.6942,34.6493,1
5,5,1005,450,450,2900,4.86,0,7,140,30,12,12,5,2,6,50,2,2,19.9624,270.258,295.363,68.1061,33.6881,1
6,6,1006,350,350,2900,2.94,0,7,140,30,16,12,0,1,6,75,2,2,19.7355,274.883,293.514,79.9177,27.3884,1
7,7,1007,400,400,2900,3.84,0,7,140,30,20,16,0,0,6,50,2,2,18.3753,296.224,266.888,67.7032,32.3793,1
8,8,1008,450,450,2900,4.86,0,7,140,30,16,12,6,2,6,50,2,2,16.3653,305.835,301.063,69.0445,24.346,1
9,9,1009,400,400,2900,3.84,0,7,140,30,16,12,4,3,6,50,2,2,22.9604,320.259,272.867,54.7715,21.0842,1
10,10,1010,400,400,2900,3.84,0,7,140,30,16,12,4,3,6,50,2,2,17.9051,293.718,278.032,66.7674,24.7008,1
11,11,1011,450,450,2900,4.86,0,7,140,30,16,12,6,2,6,50,2,2,17.3913,287.197,258,60.14,28.8078,1
12,12,1012,400,400,2900,3.84,0,7,140,30,20,16,0,0,6,50,2,2,22.9942,269.141,288.226,51.8352,26.6073,1
13,13,1013,400,400,2900,3.84,0,7,140,30,20,16,0,0,6,50,2,2,21.4267,290.144,303.379,62.9364,35.1712,1
14,14,1014,450,450,2900,4.86,0,7,140,30,16,12,6,3,6,50,2,2,15.0474,275.176,310.025,62.3142,27.4274,1
15,15,1015,400,400,2900,3.84,0,7,140,30,16,12,3,2,6,50,2,2,21.177,288.52,286.677,72.0477,30.1099,1
16,16,1016,400,400,2900,3.84,0,7,140,30,16,12,3,2,6,50,2,2,16.0087,292.01,270.334,64.0048,25.43,1
17,17,1017,450,450,2900,4.86,0,7,140,30,16,12,6,3,6,50,2,2,26.5706,302.266,287.073,71.0062,20.0287,1
18,18,1018,400,400,2900,3.84,0,7,140,30,20,16,0,0,6,50,2,2,28.7545,281.49,280.159,61.3314,35.6305,1
19,19,1019,350,350,2900,2.94,0,7,140,30,16,12,0,1,6,75,2,2,20.8712,322.868,280.924,101.833,23.8953,1
20,20,1020,450,450,2900,4.86,0,7,140,30,16,12,4,1,6,50,2,2,28.4811,327.53,278.139,74.2466,29.2295,1
21,21,1021,350,350,2900,2.94,0,7,140,30,12,12,2,2,6,75,2,2,13.7421,301.845,313.265,75.7918,32.2177,1
22,22,1022,350,350,2900,2.94,0,7,140,30,12,12,2,2,6,75,2,2,21.0447,295.404,284.279,91.924,34.3069,1
23,23,1023,450,450,2900,4.86,0,7,140,30,16,12,4,1,6,50,2,2,13.3184,297.127,251.757,60.7464,28.123,1
24,24,1024,350,350,2900,2.94,0,7,140,30,16,12,0,1,6,75,2,2,19.853,305.071,287.829,104.253,25.1672,1
1001,1001,2001,350,350,2900,2.94,0,7,140,30,16,12,0,3,6,50,2,2,14.1856,312.919,295.66,50.4635,43.5378,1
1002,1002,2002,450,450,2900,4.86,0,7,140,30,12,12,0,4,6,100,2,2,14.8906,303.466,301.218,128.993,33.5209,1
1005,1005,2005,450,450,2900,4.86,0,7,140,30,12,12,0,4,6,100,2,2,22.5601,293.245,298.038,113.941,24.4587,1
1006,1006,2006,350,350,2900,2.94,0,7,140,30,16,12,0,3,6,50,2,2,16.7281,267.856,295.743,61.9145,37.3739,1
1007,1007,2007,400,400,2900,3.84,0,7,140,30,20,16,0,1,6,50,2,2,14.4374,292.563,276.038,67.9314,30.8432,1
1008,1008,2008,450,450,2900,4.86,0,7,140,30,16,12,0,3,6,75,2,2,16.6324,282.627,282.509,98.6211,28.2319,1
1009,1009,2009,400,400,2900,3.84,0,7,140,30,16,12,0,2,6,50,2,2,18.6709,274.297,286.538,56.1549,20.3327,1
1010,1010,2010,400,400,2900,3.84,0,7,140,30,16,12,0,2,6,50,2,2,20.4596,306.475,272.669,55.1352,23.8485,1
1011,1011,2011,450,450,2900,4.86,0,7,140,30,16,12,0,3,6,75,2,2,16.3149,301.771,285.376,106.9,20.611,1
1012,1012,2012,400,400,2900,3.84,0,7,140,30,20,16,0,1,6,50,2,2,23.3493,288.964,270.238,62.6884,35.0274,1
1013,1013,2013,400,400,2900,3.84,0,7,140,30,20,16,0,1,6,50,2,2,20.6966,286.682,269.096,74.489,36.6463,1
1014,1014,2014,450,450,2900,4.86,0,7,140,30,16,12,0,3,6,75,2,2,21.0445,287.614,302.447,99.882,28.5789,1
1015,1015,2015,400,400,2900,3.84,0,7,140,30,16,12,0,2,6,50,2,2,19.2301,278.914,274.525,55.6418,18.5381,1
1016,1016,2016,400,400,2900,3.84,0,7,140,30,16,12,0,2,6,50,2,2,26.8009,284.472,287.022,54.234,22.5306,1
1017,1017,2017,450,450,2900,4.86,0,7,140,30,16,12,0,3,6,75,2,2,22.2708,285.714,292.622,87.1598,48.4437,1
1018,1018,2018,400,400,2900,3.84,0,7,140,30,20,16,0,1,6,50,2,2,15.5987,258.405,311.148,69.0921,43.477,1
1019,1019,2019,350,350,2900,2.94,0,7,140,30,16,12,0,3,6,50,2,2,24.549,306.454,280.801,61.5065,27.7668,1
1020,1020,2020,450,450,2900,4.86,0,7,140,30,16,12,0,3,6,100,2,2,36.0369,261.985,275.175,128.396,21.7373,1
1021,1021,2021,350,350,2900,2.94,0,7,140,30,12,12,0,2,6,75,2,2,20.962,283.369,305.082,97.3202,28.7474,1
1022,1022,2022,350,350,2900,2.94,0,7,140,30,12,12,0,2,6,75,2,2,30.2621,269.802,280.691,81.5461,28.5305,1
1023,1023,2023,450,450,2900,4.86,0,7,140,30,16,12,0,3,6,100,2,2,18.5466,275.982,279.631,117.158,16.1543,1
1024,1024,2024,350,350,2900,2.94,0,7,140,30,16,12,0,3,6,50,2,2,22.0527,311.604,273.463,57.3626,35.7,1
2001,2001,3001,250,250,2900,1.5,0,7,140,30,16,12,0,0,6,125,2,2,19.8443,283.308,286.004,183.518,33.8806,1
2002,2002,3002,350,350,2900,2.94,0,7,140,30,12,12,0,2,6,125,2,2,19.9841,296.916,277.622,125.472,32.035,1
2005,2005,3005,350,350,2900,2.94,0,7,140,30,12,12,0,2,6,125,2,2,26.3348,271.979,282.841,184.761,38.9081,1
2006,2006,3006,250,250,2900,1.5,0,7,140,30,16,12,0,0,6,125,2,2,21.5314,278.505,281.876,133.824,39.5175,1
2007,2007,3007,350,350,2900,2.94,0,7,140,30,20,16,0,0,6,50,2,2,34.7224,305.521,292.621,63.6033,23.6547,1
2008,2008,3008,350,350,2900,2.94,0,7,140,30,16,12,0,1,6,125,2,2,21.6719,307.35,286.041,141.41,19.2794,1
2009,2009,3009,350,350,2900,2.94,0,7,140,30,16,12,0,1,6,75,2,2,13.8097,280.044,294.73,86.4156,27.1308,1
2010,2010,3010,350,350,2900,2.94,0,7,140,30,16,12,0,1,6,75,2,2,18.9203,315.752,280.581,103.6,42.7617,1
2011,2011,3011,350,350,2900,2.94,0,7,140,30,16,12,0,1,6,125,2,2,28.6379,294.328,281.437,168.191,37.6504,1
2012,2012,3012,350,350,2900,2.94,0,7,140,30,20,16,0,0,6,50,2,2,19.5224,288.109,333.361,69.1349,24.6282,1
2013,2013,3013,350,350,2900,2.94,0,7,140,30,20,16,0,0,6,50,2,2,11.7708,283.56,277.929,54.7262,36.1683,1
2014,2014,3014,350,350,2900,2.94,0,7,140,30,16,12,0,1,6,100,2,2,17.0762,282.02,298.49,110.138,31.5497,1
2015,2015,3015,350,350,2900,2.94,0,7,140,30,16,12,0,1,6,75,2,2,13.3763,312.997,295.634,103.414,25.1086,1
2016,2016,3016,350,350,2900,2.94,0,7,140,30,16,12,0,1,6,75,2,2,44.4233,295.369,293.517,79.5482,35.7527,1
2017,2017,3017,350,350,2900,2.94,0,7,140,30,16,12,0,1,6,100,2,2,36.9483,289.235,271.673,145.36,25.2669,1
2018,2018,3018,350,350,2900,2.94,0,7,140,30,20,16,0,0,6,50,2,2,26.99,264.379,253.675,73.0932,26.5424,1
2019,2019,3019,250,250,2900,1.5,0,7,140,30,16,12,0,0,6,125,2,2,22.6491,278.342,297.671,156.572,23.3664,1
2020,2020,3020,350,350,2900,2.94,0,7,140,30,16,12,0,1,6,125,2,2,26.0341,311.705,268.731,168.956,31.339,1
2021,2021,3021,250,250,2900,1.5,0,7,140,30,12,12,0,0,6,125,2,2,15.7294,290.067,278.128,145.905,28.8538,1
2022,2022,3022,250,250,2900,1.5,0,7,140,30,12,12,0,0,6,125,2,2,17.8024,282.79,323.072,164.798,33.2014,1
2023,2023,3023,350,350,2900,2.94,0,7,140,30,16,12,0,1,6,125,2,2,21.3449,256.105,315.54,126.564,15.0133,1
2024,2024,3024,250,250,2900,1.5,0,7,140,30,16,12,0,0,6,125,2,2,18.7736,278.604,309.099,138.705,27.9282,1
3001,3001,4001,250,250,2900,1.5,0,7,140,30,16,12,0,0,6,100,2,2,12.6318,278.634,291.044,122.685,17.5885,1
