node_id,x-coord [m],y-coord [m],z-coord [m],bottom_column,top_column,left_beam_x,right_beam_x,left_beam_y,right_beam_y,fcm [MPa],model_type_q
1,0,0,0,,4052,,,,,inelastic,inelastic
2,2.9,0,0,,4054,,,,,inelastic,inelastic
3,7.9,0,0,,3,,,,,inelastic,inelastic
4,12.9,0,0,,4,,,,,inelastic,inelastic
5,0,4.05,0,,5,,,,,inelastic,inelastic
6,2.9,4.05,0,,6,,,,,inelastic,inelastic
7,7.9,4.05,0,,7,,,,,inelastic,inelastic
8,12.9,4.05,0,,8,,,,,inelastic,inelastic
9,0,8.1,0,,9,,,,,inelastic,inelastic
10,2.9,8.1,0,,10,,,,,inelastic,inelastic
11,7.9,8.1,0,,11,,,,,inelastic,inelastic
12,12.9,8.1,0,,12,,,,,inelastic,inelastic
13,0,12.15,0,,13,,,,,inelastic,inelastic
14,2.9,12.15,0,,14,,,,,inelastic,inelastic
15,7.9,12.15,0,,15,,,,,inelastic,inelastic
16,12.9,12.15,0,,16,,,,,inelastic,inelastic
17,0,16.2,0,,17,,,,,inelastic,inelastic
18,2.9,16.2,0,,18,,,,,inelastic,inelastic
19,7.9,16.2,0,,19,,,,,inelastic,inelastic
20,12.9,16.2,0,,20,,,,,inelastic,inelastic
1001,0,0,3.5,4053,4057,,1021,,1036,inelastic,inelastic
1002,2.9,0,3.5,4055,4059,1021,1022,,1037,inelastic,inelastic
1003,7.9,0,3.5,3,1003,1022,1023,,1038,inelastic,inelastic
1004,12.9,0,3.5,4,1004,1023,,,1039,inelastic,inelastic
1005,0,4.05,3.5,5,1005,,1024,1036,1040,inelastic,inelastic
1006,2.9,4.05,3.5,6,1006,1024,1025,1037,1041,inelastic,inelastic
1007,7.9,4.05,3.5,7,1007,1025,1026,1038,1042,inelastic,inelastic
1008,12.9,4.05,3.5,8,1008,1026,,1039,1043,inelastic,inelastic
1009,0,8.1,3.5,9,1009,,1027,1040,1044,inelastic,inelastic
1010,2.9,8.1,3.5,10,1010,1027,1028,1041,1045,inelastic,inelastic
1011,7.9,8.1,3.5,11,1011,1028,1029,1042,1046,inelastic,inelastic
1012,12.9,8.1,3.5,12,1012,1029,,1043,1047,inelastic,inelastic
1013,0,12.15,3.5,13,1013,,1030,1044,1048,inelastic,inelastic
1014,2.9,12.15,3.5,14,1014,1030,1031,1045,1049,inelastic,inelastic
1015,7.9,12.15,3.5,15,1015,1031,1032,1046,1050,inelastic,inelastic
1016,12.9,12.15,3.5,16,1016,1032,,1047,1051,inelastic,inelastic
1017,0,16.2,3.5,17,1017,,1033,1048,,inelastic,inelastic
1018,2.9,16.2,3.5,18,1018,1033,1034,1049,,inelastic,inelastic
1019,7.9,16.2,3.5,19,1019,1034,1035,1050,,inelastic,inelastic
1020,12.9,16.2,3.5,20,1020,1035,,1051,,inelastic,inelastic
2001,0,0,6.4,4058,4062,,2021,,2036,inelastic,inelastic
2002,2.9,0,6.4,4060,4064,2021,2022,,2037,inelastic,inelastic
2003,7.9,0,6.4,1003,2003,2022,2023,,2038,inelastic,inelastic
2004,12.9,0,6.4,1004,2004,2023,,,2039,inelastic,inelastic
2005,0,4.05,6.4,1005,2005,,2024,2036,2040,inelastic,inelastic
2006,2.9,4.05,6.4,1006,2006,2024,2025,2037,2041,inelastic,inelastic
2007,7.9,4.05,6.4,1007,2007,2025,2026,2038,2042,inelastic,inelastic
2008,12.9,4.05,6.4,1008,2008,2026,,2039,2043,inelastic,inelastic
2009,0,8.1,6.4,1009,2009,,2027,2040,2044,inelastic,inelastic
2010,2.9,8.1,6.4,1010,2010,2027,2028,2041,2045,inelastic,inelastic
2011,7.9,8.1,6.4,1011,2011,2028,2029,2042,2046,inelastic,inelastic
2012,12.9,8.1,6.4,1012,2012,2029,,2043,2047,inelastic,inelastic
2013,0,12.15,6.4,1013,2013,,2030,2044,2048,inelastic,inelastic
2014,2.9,12.15,6.4,1014,2014,2030,2031,2045,2049,inelastic,inelastic
2015,7.9,12.15,6.4,1015,2015,2031,2032,2046,2050,inelastic,inelastic
2016,12.9,12.15,6.4,1016,2016,2032,,2047,2051,inelastic,inelastic
2017,0,16.2,6.4,1017,2017,,2033,2048,,inelastic,inelastic
2018,2.9,16.2,6.4,1018,2018,2033,2034,2049,,inelastic,inelastic
2019,7.9,16.2,6.4,1019,2019,2034,2035,2050,,inelastic,inelastic
2020,12.9,16.2,6.4,1020,2020,2035,,2051,,inelastic,inelastic
3001,0,0,9.3,4063,4067,,3021,,3036,inelastic,inelastic
3002,2.9,0,9.3,4065,4069,3021,3022,,3037,inelastic,inelastic
3003,7.9,0,9.3,2003,3003,3022,3023,,3038,inelastic,inelastic
3004,12.9,0,9.3,2004,3004,3023,,,3039,inelastic,inelastic
3005,0,4.05,9.3,2005,3005,,3024,3036,3040,inelastic,inelastic
3006,2.9,4.05,9.3,2006,3006,3024,3025,3037,3041,inelastic,inelastic
3007,7.9,4.05,9.3,2007,3007,3025,3026,3038,3042,inelastic,inelastic
3008,12.9,4.05,9.3,2008,3008,3026,,3039,3043,inelastic,inelastic
3009,0,8.1,9.3,2009,3009,,3027,3040,3044,inelastic,inelastic
3010,2.9,8.1,9.3,2010,3010,3027,3028,3041,3045,inelastic,inelastic
3011,7.9,8.1,9.3,2011,3011,3028,3029,3042,3046,inelastic,inelastic
3012,12.9,8.1,9.3,2012,3012,3029,,3043,3047,inelastic,inelastic
3013,0,12.15,9.3,2013,3013,,3030,3044,3048,inelastic,inelastic
3014,2.9,12.15,9.3,2014,3014,3030,3031,3045,3049,inelastic,inelastic
3015,7.9,12.15,9.3,2015,3015,3031,3032,3046,3050,inelastic,inelastic
3016,12.9,12.15,9.3,2016,3016,3032,,3047,3051,inelastic,inelastic
3017,0,16.2,9.3,2017,3017,,3033,3048,,inelastic,inelastic
3018,2.9,16.2,9.3,2018,3018,3033,3034,3049,,inelastic,inelastic
3019,7.9,16.2,9.3,2019,3019,3034,3035,3050,,inelastic,inelastic
3020,12.9,16.2,9.3,2020,3020,3035,,3051,,inelastic,inelastic
4001,0,0,12.2,4068,,,4021,,4036,inelastic,inelastic
4002,2.9,0,12.2,4070,,4021,4022,,4037,inelastic,inelastic
4003,7.9,0,12.2,3003,,4022,4023,,4038,inelastic,inelastic
4004,12.9,0,12.2,3004,,4023,,,4039,inelastic,inelastic
4005,0,4.05,12.2,3005,,,4024,4036,4040,inelastic,inelastic
4006,2.9,4.05,12.2,3006,,4024,4025,4037,4041,inelastic,inelastic
4007,7.9,4.05,12.2,3007,,4025,4026,4038,4042,inelastic,inelastic
4008,12.9,4.05,12.2,3008,,4026,,4039,4043,inelastic,inelastic
4009,0,8.1,12.2,3009,,,4027,4040,4044,inelastic,inelastic
4010,2.9,8.1,12.2,3010,,4027,4028,4041,4045,inelastic,inelastic
4011,7.9,8.1,12.2,3011,,4028,4029,4042,4046,inelastic,inelastic
4012,12.9,8.1,12.2,3012,,4029,,4043,4047,inelastic,inelastic
4013,0,12.15,12.2,3013,,,4030,4044,4048,inelastic,inelastic
4014,2.9,12.15,12.2,3014,,4030,4031,4045,4049,inelastic,inelastic
4015,7.9,12.15,12.2,3015,,4031,4032,4046,4050,inelastic,inelastic
4016,12.9,12.15,12.2,3016,,4032,,4047,4051,inelastic,inelastic
4017,0,16.2,12.2,3017,,,4033,4048,,inelastic,inelastic
4018,2.9,16.2,12.2,3018,,4033,4034,4049,,inelastic,inelastic
4019,7.9,16.2,12.2,3019,,4034,4035,4050,,inelastic,inelastic
4020,12.9,16.2,12.2,3020,,4035,,4051,,inelastic,inelastic
4021,0,0,1.75,4052,4053,,4056,,,inelastic,inelastic
4022,2.9,0,1.75,4054,4055,4056,,,,inelastic,inelastic
4023,0,0,4.95,4057,4058,,4061,,,inelastic,inelastic
4024,2.9,0,4.95,4059,4060,4061,,,,inelastic,inelastic
4025,0,0,7.85,4062,4063,,4066,,,inelastic,inelastic
4026,2.9,0,7.85,4064,4065,4066,,,,inelastic,inelastic
4027,0,0,10.75,4067,4068,,4071,,,inelastic,inelastic
4028,2.9,0,10.75,4069,4070,4071,,,,inelastic,inelastic
